,ecfp,avalon,tt,maccs,fcfp,ap,rdkit,map4,mhfp,pubchem,daylight,kr,lingo,estate,dfs,asp,lstar,rad2d,ph2,ph3
ecfp,1.0,0.5111217303755309,0.6930368758607244,0.6456840974727311,0.7374306445239007,0.656577443311603,0.5130521454947744,0.679998267985849,0.774171729429903,0.60829259496689,0.591674146307082,0.5148835471236012,0.6795866081153387,0.5973344578654463,0.6791602797707142,0.735013698838962,0.7368876755509532,0.6550857905125421,0.1882043404506109,0.2246421888730719
avalon,0.5111217303755309,1.0,0.4608337859970686,0.7111416670471095,0.4545338250578861,0.6221108750594303,0.7897223439751565,0.6645257230135201,0.6290677247647892,0.4478508009634955,0.5398163656411764,0.6150128210592521,0.5907301715850692,0.5456002303164037,0.7336665183657513,0.6363558822209754,0.4274036575559568,0.3473385288310369,0.2495479377743318,0.3224608131662003
tt,0.6930368758607244,0.4608337859970687,1.0,0.5426921086628936,0.6459520481965926,0.6039308260910509,0.5037670883559683,0.655710511766182,0.6479611106256727,0.6066580078215434,0.5356204845149894,0.4002653930764495,0.6458612852530612,0.4050938034218631,0.7416470782724467,0.7682790340748414,0.6368746383039515,0.593453418138244,0.1943652666238455,0.2464352647172813
maccs,0.6456840974727311,0.7111416670471095,0.5426921086628937,1.0,0.6287987467430413,0.7256433735961411,0.6574177468339111,0.5603787339839856,0.6119689913524222,0.6946335308531991,0.6613485002651638,0.6455461265082614,0.6749211924991916,0.6921782728587752,0.667245284522691,0.669085844900802,0.559626781812654,0.6198469359841445,0.261232375439956,0.3052453214615004
fcfp,0.7374306445239008,0.4545338250578862,0.6459520481965926,0.6287987467430413,1.0,0.6282419125812752,0.4956594401914376,0.765393440847154,0.8911150434249159,0.6503826853674738,0.7357763551262995,0.640842239806054,0.7224320093080888,0.6993297812805078,0.5972289933087676,0.679708378321161,0.6433367184806907,0.6197597427420855,0.213505474980273,0.238178317061885
ap,0.656577443311603,0.6221108750594302,0.6039308260910509,0.7256433735961411,0.6282419125812752,1.0,0.623195159376035,0.6743766634770042,0.6033972098017547,0.5826673751600985,0.6005543649585227,0.6082788327822896,0.6757110255408855,0.679790192894688,0.6906089798399595,0.7291620298442353,0.5964018940324821,0.5283742203590727,0.316715241425447,0.3205242566585556
rdkit,0.5130521454947744,0.7897223439751565,0.5037670883559682,0.6574177468339111,0.4956594401914376,0.623195159376035,0.9999999999999998,0.4017426018868131,0.4512234151156329,0.6048079730420483,0.659614666957011,0.4406378366249313,0.5320060818075593,0.5424463196954584,0.7037327927306635,0.6464481350129961,0.4664973737427326,0.3498615472777094,0.2889487344338624,0.3076347815959069
map4,0.679998267985849,0.6645257230135201,0.6557105117661819,0.5603787339839856,0.765393440847154,0.6743766634770042,0.4017426018868131,1.0,0.853641264392434,0.4779108240689828,0.6805816088295855,0.6598208434277418,0.7237784834915579,0.5182476732492407,0.6629684758666261,0.7431653936458075,0.6831320012751915,0.6120003120725053,0.1433553315172673,0.1847994473020968
mhfp,0.7741717294299029,0.6290677247647892,0.6479611106256729,0.6119689913524222,0.8911150434249161,0.6033972098017546,0.4512234151156329,0.853641264392434,1.0,0.6195466596467251,0.7202364860871995,0.6692941354237726,0.7598516954337459,0.6373635572920714,0.6481252331624218,0.7342457099581877,0.7148649637466752,0.6871120386547609,0.1473108118127231,0.1974059209960864
pubchem,0.60829259496689,0.4478508009634955,0.6066580078215434,0.6946335308531991,0.6503826853674738,0.5826673751600984,0.6048079730420483,0.4779108240689828,0.6195466596467252,1.0,0.6956959347962209,0.3589526831850326,0.5636983244202609,0.6060019727182445,0.5409379817429446,0.5911511248796442,0.503751796567845,0.627017608986024,0.2527011361972859,0.2820355174401834
daylight,0.5916741463070819,0.5398163656411764,0.5356204845149894,0.6613485002651639,0.7357763551262995,0.6005543649585225,0.659614666957011,0.6805816088295855,0.7202364860871995,0.6956959347962208,1.0,0.663988013340411,0.6474568325601527,0.6744099799378617,0.5781695120066741,0.6387397710502533,0.5280695974072804,0.5224067180105751,0.1872701002128768,0.2108702465474798
kr,0.5148835471236012,0.6150128210592521,0.4002653930764495,0.6455461265082614,0.640842239806054,0.6082788327822896,0.4406378366249313,0.6598208434277418,0.6692941354237725,0.3589526831850327,0.663988013340411,1.0,0.6472077275896811,0.6877627720845635,0.5377788326319327,0.5467777422270688,0.4559373311870468,0.4625242045459674,0.1501453733777395,0.2275527530545287
lingo,0.6795866081153387,0.5907301715850692,0.6458612852530611,0.6749211924991916,0.7224320093080888,0.6757110255408855,0.5320060818075593,0.723778483491558,0.759851695433746,0.5636983244202609,0.6474568325601527,0.6472077275896811,1.0,0.6047370553500584,0.6894684260822332,0.7188704928285098,0.6002607424643555,0.5668725946560744,0.2132004049334629,0.2523956873293321
estate,0.5973344578654463,0.5456002303164037,0.4050938034218631,0.6921782728587753,0.6993297812805078,0.6797901928946879,0.5424463196954584,0.5182476732492407,0.6373635572920715,0.6060019727182445,0.6744099799378618,0.6877627720845636,0.6047370553500584,1.0,0.4928006376451246,0.5274966200574993,0.471619485284784,0.447280152144654,0.1899317604379119,0.2253875294640605
dfs,0.6791602797707141,0.7336665183657513,0.7416470782724467,0.6672452845226912,0.5972289933087676,0.6906089798399595,0.7037327927306636,0.6629684758666262,0.6481252331624218,0.5409379817429446,0.5781695120066742,0.5377788326319326,0.6894684260822332,0.4928006376451246,1.0,0.9247156356614938,0.7191965642110164,0.568960857265685,0.2689871343761129,0.322240723885293
asp,0.735013698838962,0.6363558822209753,0.7682790340748414,0.669085844900802,0.6797083783211609,0.7291620298442352,0.6464481350129963,0.7431653936458075,0.7342457099581878,0.5911511248796442,0.6387397710502533,0.5467777422270688,0.7188704928285097,0.5274966200574992,0.924715635661494,1.0,0.7742242521961663,0.6336677776485856,0.2551545540497225,0.2906035249519701
lstar,0.7368876755509532,0.4274036575559568,0.6368746383039515,0.559626781812654,0.6433367184806907,0.5964018940324821,0.4664973737427326,0.6831320012751915,0.7148649637466752,0.5037517965678451,0.5280695974072804,0.4559373311870468,0.6002607424643555,0.471619485284784,0.7191965642110165,0.7742242521961663,1.0,0.6621825581830557,0.198669940667949,0.2164642218033331
rad2d,0.6550857905125422,0.3473385288310369,0.5934534181382439,0.6198469359841445,0.6197597427420855,0.5283742203590726,0.3498615472777094,0.6120003120725053,0.687112038654761,0.627017608986024,0.5224067180105751,0.4625242045459674,0.5668725946560745,0.447280152144654,0.568960857265685,0.6336677776485857,0.6621825581830556,1.0,0.2518829116896476,0.3151589094070017
ph2,0.1882043404506109,0.2495479377743318,0.1943652666238455,0.261232375439956,0.213505474980273,0.316715241425447,0.2889487344338624,0.1433553315172673,0.1473108118127231,0.2527011361972859,0.1872701002128768,0.1501453733777395,0.2132004049334629,0.1899317604379119,0.2689871343761129,0.2551545540497225,0.198669940667949,0.2518829116896476,1.0,0.7876639134344462
ph3,0.2246421888730719,0.3224608131662003,0.2464352647172813,0.3052453214615004,0.238178317061885,0.3205242566585556,0.3076347815959069,0.1847994473020968,0.1974059209960864,0.2820355174401834,0.2108702465474798,0.2275527530545287,0.2523956873293321,0.2253875294640605,0.322240723885293,0.2906035249519701,0.2164642218033331,0.3151589094070017,0.7876639134344462,0.9999999999999998
