,ecfp,avalon,tt,maccs,fcfp,ap,rdkit,map4,mhfp,pubchem,daylight,kr,lingo,estate,dfs,asp,lstar,rad2d,ph2,ph3
ecfp,1.0,0.6106405062697486,0.6304621705403763,0.642465578870479,0.7345080375221114,0.6363482193796459,0.514775703083882,0.6814026035934742,0.7729915920559178,0.6005460560606757,0.5875168753372283,0.5190376009978493,0.6777916503113243,0.5949925379951295,0.6801144139765019,0.7353521149289721,0.7354423193527252,0.6513430410367417,0.1948838471477329,0.22778318056697988
avalon,0.6106405062697488,1.0,0.5890811809051427,0.5316845749498663,0.5676398223552499,0.5942134739324938,0.4784857716605008,0.6650454222433019,0.6285979690356243,0.45200754023819406,0.5478893888254392,0.48405818686698027,0.5629789629069213,0.43953834594893054,0.6153168709129362,0.6394710881823417,0.5415978511228148,0.4971190641856021,0.11503328046179133,0.1791776557245006
tt,0.6304621705403763,0.5890811809051428,1.0,0.43904206541991153,0.5734303029285256,0.5625962891468475,0.4098638597363568,0.6591010970573676,0.6489349342388426,0.42904676573894646,0.4714705096815475,0.42451555518474493,0.536930988087909,0.37206601041736226,0.6639529983860765,0.692788936220485,0.6333527790910373,0.5220318585120018,0.13774656284723005,0.1850648094295367
maccs,0.642465578870479,0.5316845749498663,0.4390420654199115,1.0,0.6263973841797306,0.5457846771005421,0.6553830690041907,0.5578526543774673,0.6097831733497573,0.6931614902644664,0.6590721792862766,0.6485762067875946,0.6765474220855454,0.694685912463422,0.6652816668947823,0.6670328414749109,0.5505218436977155,0.6116324874863284,0.2711159814058991,0.3075815726401734
fcfp,0.7345080375221114,0.5676398223552499,0.5734303029285256,0.6263973841797306,1.0,0.5945803095800277,0.4944955912844952,0.7638828457507882,0.8891442138385467,0.6459388467445286,0.7356739771935213,0.6473082508269768,0.7192628356934249,0.7015469327661489,0.5931724735572137,0.6765827409411195,0.6371194017615033,0.6158982393983845,0.2209669709824262,0.24328238641785582
ap,0.6363482193796459,0.5942134739324938,0.5625962891468475,0.5457846771005421,0.5945803095800278,0.9999999999999998,0.39142644601316295,0.676640487297542,0.6079329236781169,0.46439365130648785,0.5206047810632524,0.5175544545392254,0.5290571557208076,0.5682552929553687,0.5272093471347643,0.6117804183583563,0.5895403216678688,0.5335008015136666,0.17711960747162048,0.19782522711139527
rdkit,0.514775703083882,0.4784857716605009,0.4098638597363568,0.6553830690041907,0.4944955912844952,0.39142644601316295,1.0,0.40039732719067167,0.44965602349287226,0.6079238047134657,0.6569163763109812,0.44116979604181317,0.5377354656418086,0.5470960808108146,0.7069096496563443,0.6487535185195381,0.4608893609925868,0.3399169920061455,0.28723166825308716,0.30342841972630685
map4,0.6814026035934742,0.6650454222433019,0.6591010970573676,0.5578526543774673,0.7638828457507882,0.676640487297542,0.40039732719067167,0.9999999999999999,0.8544554506800878,0.4751761952319009,0.6759436915074982,0.6579498535489061,0.7188366658582601,0.517461078428513,0.6617217681235349,0.7452264645794489,0.6849052561402015,0.6102969260140301,0.14733645459471278,0.1846501116111926
mhfp,0.7729915920559177,0.6285979690356243,0.6489349342388426,0.6097831733497572,0.8891442138385467,0.6079329236781168,0.4496560234928723,0.8544554506800878,1.0,0.6136203820192525,0.7183460976176879,0.6754401731347155,0.7552231540474409,0.6379677629950676,0.645461880623402,0.7334751433826462,0.7139486658533013,0.6858642508682459,0.15460290497030243,0.20321620378710983
pubchem,0.6005460560606757,0.45200754023819406,0.42904676573894646,0.6931614902644664,0.6459388467445286,0.46439365130648785,0.6079238047134657,0.4751761952319009,0.6136203820192525,0.9999999999999998,0.6972477919585973,0.36763218131516934,0.563445024409418,0.6041660578792186,0.5417174218287947,0.5869766936130393,0.4921874797464345,0.6156546618145216,0.2525949677242932,0.2793634327417711
daylight,0.5875168753372283,0.5478893888254392,0.4714705096815475,0.6590721792862766,0.7356739771935213,0.5206047810632525,0.6569163763109812,0.6759436915074983,0.7183460976176879,0.6972477919585972,1.0,0.668789231081599,0.6443193199588597,0.6792997183876754,0.568407614576609,0.6291004411344167,0.5168027837200296,0.5122667590806126,0.18678004177145702,0.20733851049226257
kr,0.5190376009978493,0.4840581868669803,0.42451555518474493,0.6485762067875946,0.6473082508269768,0.5175544545392254,0.44116979604181317,0.6579498535489061,0.6754401731347155,0.36763218131516934,0.6687892310815989,0.9999999999999998,0.6487977557766587,0.6940331791007526,0.5331984478578972,0.5472924955111789,0.45396832766048395,0.46509061243513744,0.15899424322253405,0.23488876429203687
lingo,0.6777916503113244,0.5629789629069213,0.5369309880879088,0.6765474220855454,0.7192628356934249,0.5290571557208076,0.5377354656418086,0.71883666585826,0.7552231540474409,0.563445024409418,0.6443193199588597,0.6487977557766587,1.0,0.6086761400229204,0.6862357030946787,0.7173576320928952,0.593978671447755,0.5611966989928086,0.21878920428963575,0.25773961201643225
estate,0.5949925379951295,0.4395383459489306,0.37206601041736226,0.694685912463422,0.701546932766149,0.5682552929553687,0.5470960808108145,0.517461078428513,0.6379677629950675,0.6041660578792186,0.6792997183876754,0.6940331791007526,0.6086761400229204,0.9999999999999999,0.4926112014520059,0.5283573021370122,0.4628743251379461,0.4361485216310995,0.19661931795286122,0.23254262604563117
dfs,0.680114413976502,0.6153168709129362,0.6639529983860765,0.6652816668947823,0.5931724735572137,0.5272093471347644,0.7069096496563443,0.6617217681235349,0.6454618806234022,0.5417174218287946,0.568407614576609,0.5331984478578972,0.6862357030946787,0.4926112014520059,1.0,0.9252136645118717,0.7172315258243832,0.5586972694202365,0.2721163977272467,0.3179823710921394
asp,0.7353521149289721,0.6394710881823417,0.692788936220485,0.6670328414749109,0.6765827409411195,0.6117804183583563,0.648753518519538,0.7452264645794489,0.7334751433826462,0.5869766936130393,0.6291004411344167,0.5472924955111789,0.7173576320928952,0.5283573021370122,0.9252136645118717,1.0,0.7731159620337451,0.6228151119557279,0.25813367280198146,0.28668682522693945
lstar,0.7354423193527252,0.5415978511228148,0.6333527790910373,0.5505218436977156,0.6371194017615033,0.5895403216678688,0.46088936099258676,0.6849052561402015,0.7139486658533013,0.4921874797464345,0.5168027837200296,0.45396832766048395,0.5939786714477548,0.4628743251379461,0.7172315258243832,0.7731159620337451,1.0,0.6559383259672081,0.20589205424709645,0.21784859401588808
rad2d,0.6513430410367417,0.49711906418560203,0.5220318585120018,0.6116324874863283,0.6158982393983845,0.5335008015136665,0.33991699200614545,0.6102969260140302,0.6858642508682458,0.6156546618145216,0.5122667590806126,0.4650906124351374,0.5611966989928086,0.4361485216310995,0.5586972694202365,0.622815111955728,0.6559383259672082,0.9999999999999999,0.26271122725393464,0.31783487916302494
ph2,0.19488384714773288,0.11503328046179133,0.13774656284723005,0.27111598140589904,0.2209669709824262,0.17711960747162048,0.28723166825308716,0.14733645459471278,0.15460290497030243,0.2525949677242932,0.18678004177145702,0.15899424322253405,0.21878920428963575,0.1966193179528612,0.27211639772724666,0.25813367280198146,0.20589205424709647,0.26271122725393464,1.0,0.7957553425796219
