,ecfp,avalon,tt,maccs,fcfp,ap,rdkit,map4,mhfp,pubchem,daylight,kr,lingo,estate,dfs,asp,lstar,rad2d,ph2,ph3
ecfp,1.0,0.5114315806763622,0.6845833025294222,0.6418794425900166,0.7295939142581002,0.6526693348633619,0.5106391635019442,0.6745509627600409,0.7678595337429097,0.6087278648759826,0.5837821174864429,0.5170596367612542,0.676328749788016,0.5980092624249936,0.674241008018664,0.7315071950654584,0.7320127300484657,0.651618754685187,0.1953621056738633,0.2241717524231484
avalon,0.5114315806763622,1.0,0.4523087046520292,0.7105025799774137,0.4468200300705299,0.6247556573017774,0.7949065321088791,0.6506332176283142,0.6187997048238609,0.452243789104311,0.5323885561281027,0.6106941648913159,0.5921318902913263,0.5509498963998412,0.7347137654397663,0.6380654725807234,0.4238669917136998,0.3371617827152543,0.2365733836767413,0.3047533846649489
tt,0.6845833025294222,0.4523087046520292,1.0,0.5294057432222237,0.6331474085012111,0.5895299030743749,0.4949026675426329,0.645514127633687,0.6415172381546201,0.5956692806664067,0.5166813063836293,0.3951084295998673,0.633647677489337,0.3942630043266672,0.7375460387965153,0.7648009322964396,0.631867818237531,0.5832366133086198,0.1878971828927254,0.2298907138215838
maccs,0.6418794425900166,0.7105025799774137,0.5294057432222238,1.0,0.6255911413520758,0.7239542841332518,0.6549105719049978,0.5626422288104818,0.609306808862077,0.6910974445119096,0.6594523041205843,0.652731806240977,0.6782213490783076,0.6969957653593302,0.6636382489317868,0.6664528775358757,0.5547620950791133,0.6089770500178828,0.2610931089933475,0.2962053319991578
fcfp,0.7295939142581003,0.4468200300705299,0.6331474085012111,0.6255911413520758,1.0,0.6221090360905215,0.4884627001309227,0.7643891722621784,0.8892039772744367,0.6532929326446547,0.7311674935825941,0.642586824543254,0.7177836188014183,0.7014561583435424,0.5874366245641031,0.6737292798864848,0.6379274021571353,0.6203117347769309,0.2166253963370615,0.2364868620520784
ap,0.6526693348633618,0.6247556573017774,0.5895299030743749,0.7239542841332518,0.6221090360905215,1.0,0.6244963761073948,0.6658991356968347,0.5969841646002813,0.5812115221242765,0.5958950559288642,0.6033724801891942,0.6734396290105352,0.6809813903216468,0.6877416371237175,0.7277607955373439,0.5928792066072088,0.5162654408096966,0.3230224470950571,0.3120931717210472
rdkit,0.5106391635019442,0.7949065321088792,0.4949026675426329,0.6549105719049978,0.4884627001309228,0.6244963761073948,1.0,0.3960736428108418,0.4441934914301669,0.6057882133263207,0.65149515151402,0.4389326140281338,0.5345025646664864,0.5399760018266953,0.7068361266468547,0.6483632214331552,0.4618061832564138,0.3403307153318792,0.2772814241548474,0.2888514527856211
map4,0.6745509627600409,0.6506332176283143,0.645514127633687,0.5626422288104818,0.7643891722621784,0.6658991356968347,0.3960736428108418,1.0,0.8520744734131542,0.4810331075948163,0.6796039336730028,0.6676098607626744,0.7184453966875801,0.5282786417216232,0.6512622892290663,0.7363370469409006,0.6740621904050796,0.6076300555728525,0.1421358634632996,0.1788667250131581
mhfp,0.7678595337429097,0.6187997048238609,0.6415172381546201,0.6093068088620769,0.8892039772744366,0.5969841646002813,0.4441934914301669,0.8520744734131542,1.0,0.620474863673235,0.7144011999959504,0.6728026048681366,0.7543338371383903,0.6421015223496612,0.6375361367511737,0.7273144771626698,0.7087932012829152,0.6857331117384388,0.1488820778281918,0.1937711864481562
pubchem,0.6087278648759827,0.4522437891043111,0.5956692806664067,0.6910974445119096,0.6532929326446546,0.5812115221242765,0.6057882133263207,0.4810331075948163,0.620474863673235,1.0,0.6976294284243358,0.3694412728775779,0.5673143165370461,0.6133335364856507,0.540746950021424,0.5899459246077251,0.5025689300045448,0.6185741159788248,0.2474496391094523,0.2670861072143923
