,ecfp,avalon,tt,maccs,fcfp,ap,rdkit,map4,mhfp,pubchem,daylight,kr,lingo,estate,dfs,asp,lstar,rad2d,ph2,ph3
ecfp,0.9999999999999999,0.6037356661462483,0.6222144549450375,0.6402220044986485,0.7283927818447566,0.6311384883144703,0.5094829445734153,0.673940245755241,0.7674174813486327,0.6025244209002522,0.5831017934495153,0.5162420851881722,0.6745605234251351,0.5970403662932277,0.6718021514547043,0.7289436618905597,0.7300180541110309,0.645880545098131,0.19519726998338888,0.22556215660771303
avalon,0.6037356661462483,1.0,0.573846929237793,0.5325892363180894,0.5590527187373004,0.5834836046280258,0.47951829588077277,0.6548729961001991,0.6208020546163124,0.45085388590621456,0.5456017231856488,0.48876259916369197,0.5546030605307055,0.44174290318432197,0.6088542952792031,0.6301666840534194,0.5340083568448376,0.48934837405484033,0.11812489082631131,0.18361059969553367
tt,0.6222144549450376,0.573846929237793,1.0,0.4362272251027351,0.5664059789080568,0.5445507790302212,0.41080896150822466,0.6439889620588556,0.6403072219066211,0.4325708664054479,0.46827069271958155,0.4201909903207013,0.535169356117143,0.36918107371549413,0.6591379421248684,0.685885652058961,0.6248640740865047,0.5169032891341521,0.13786076727080973,0.1853080057647049
maccs,0.6402220044986485,0.5325892363180893,0.43622722510273515,0.9999999999999998,0.623381876312772,0.5440655473765489,0.6480099905545409,0.5639374643533013,0.6109376226954607,0.688350359688389,0.6576348160915574,0.647378479729722,0.675440220016219,0.6920651378758352,0.6599650169869021,0.6645992817092111,0.5517789203892214,0.6095995185395102,0.2633491903457006,0.3015932840102091
fcfp,0.7283927818447566,0.5590527187373004,0.5664059789080569,0.6233818763127719,1.0,0.5876786190309077,0.4882217301100029,0.7631662029284807,0.8895799032821894,0.6504970841178763,0.7312185070796844,0.6458224878801194,0.7169579796851111,0.701388696222164,0.5848449254788934,0.6708747825105871,0.6341941954604956,0.6146710973063715,0.20920166780150168,0.23145184764732082
ap,0.6311384883144704,0.5834836046280258,0.5445507790302211,0.5440655473765489,0.5876786190309078,1.0,0.38455087072563626,0.6670494856285748,0.6001916691193447,0.46576685722124633,0.5155435107380298,0.51531079493073,0.5250830559237805,0.5719288206122441,0.5146164732314252,0.6014116958798942,0.5807304990487892,0.5290452183022285,0.17764763848307794,0.19224599747499585
rdkit,0.5094829445734153,0.47951829588077277,0.4108089615082246,0.6480099905545409,0.48822173011000297,0.3845508707256362,1.0,0.40124181133684395,0.4503769623006824,0.5985260059670221,0.6520065235955843,0.4391735674051167,0.5332983752948922,0.5325575342549685,0.7029829491725168,0.6458380181353269,0.4594827352201324,0.33485927749554056,0.2957983443006482,0.30453722067780925
map4,0.673940245755241,0.6548729961001991,0.6439889620588556,0.5639374643533013,0.7631662029284806,0.6670494856285749,0.4012418113368439,1.0,0.850683114811317,0.48005928587852326,0.6793302318030656,0.6643782625869541,0.7226780927312866,0.525632436618318,0.6561413006866441,0.7374636310110787,0.6760909033319072,0.6062426658849994,0.1445057068630469,0.18237974452789518
mhfp,0.7674174813486327,0.6208020546163124,0.640307221906621,0.6109376226954607,0.8895799032821895,0.6001916691193447,0.45037696230068247,0.850683114811317,1.0,0.622333609875401,0.7168882474037513,0.6728127302031033,0.7573882692999373,0.6427034898240923,0.6411040813023047,0.7299986923584859,0.7091189661389734,0.683613377571272,0.14651834223786786,0.19390418915678834
pubchem,0.6025244209002522,0.45085388590621456,0.43257086640544784,0.688350359688389,0.6504970841178763,0.4657668572212463,0.5985260059670222,0.48005928587852326,0.6223336098754011,0.9999999999999998,0.694756280425469,0.366030322172241,0.5654287457746737,0.6017518869957321,0.5367751161550495,0.588628906854637,0.49666404579013207,0.6187146168246717,0.24826291980676912,0.27583192781489785
daylight,0.5831017934495153,0.5456017231856488,0.46827069271958155,0.6576348160915575,0.7312185070796844,0.5155435107380297,0.6520065235955844,0.6793302318030656,0.7168882474037512,0.694756280425469,0.9999999999999999,0.6691477750729828,0.6453370227362086,0.6750167326968852,0.5645012680857033,0.627853324594769,0.5141499422081568,0.5091924403265039,0.1817466027905466,0.2014602894310584
kr,0.5162420851881722,0.48876259916369197,0.4201909903207013,0.647378479729722,0.6458224878801194,0.51531079493073,0.4391735674051167,0.6643782625869541,0.6728127302031034,0.366030322172241,0.6691477750729828,1.0,0.6494868321159631,0.6961865713472478,0.5291208445774525,0.5447163275322628,0.4513514804880344,0.45740412627984456,0.14720437965501004,0.2209480674716643
lingo,0.6745605234251351,0.5546030605307054,0.5351693561171431,0.675440220016219,0.7169579796851111,0.5250830559237805,0.5332983752948923,0.7226780927312866,0.7573882692999373,0.5654287457746736,0.6453370227362087,0.6494868321159631,0.9999999999999999,0.6103070773955485,0.684802720261812,0.7156714031845405,0.5942648283076211,0.5638305544145311,0.21774011293684525,0.25304124355408963
estate,0.5970403662932278,0.44174290318432186,0.3691810737154942,0.6920651378758352,0.701388696222164,0.5719288206122441,0.5325575342549685,0.525632436618318,0.6427034898240923,0.6017518869957322,0.6750167326968852,0.6961865713472478,0.6103070773955485,1.0,0.48249589109077023,0.523675361373949,0.4645134706015233,0.44004118650135743,0.1932114022405859,0.22246792398457088
dfs,0.6718021514547042,0.6088542952792031,0.6591379421248684,0.6599650169869022,0.5848449254788934,0.5146164732314252,0.7029829491725168,0.6561413006866442,0.6411040813023047,0.5367751161550495,0.5645012680857033,0.5291208445774525,0.6848027202618121,0.48249589109077023,0.9999999999999999,0.9219985785853273,0.7120766876625929,0.5574393782316255,0.27912311421722996,0.3220304591195668
asp,0.7289436618905597,0.6301666840534194,0.685885652058961,0.6645992817092112,0.6708747825105871,0.6014116958798942,0.6458380181353269,0.7374636310110787,0.7299986923584859,0.588628906854637,0.627853324594769,0.544716327532263,0.7156714031845405,0.523675361373949,0.9219985785853273,1.0,0.7683731722549193,0.623511376671853,0.26487885305136144,0.29044827429734654
lstar,0.7300180541110309,0.5340083568448376,0.6248640740865046,0.5517789203892214,0.6341941954604956,0.5807304990487893,0.4594827352201324,0.6760909033319072,0.7091189661389733,0.49666404579013207,0.5141499422081568,0.4513514804880344,0.5942648283076211,0.4645134706015233,0.7120766876625929,0.7683731722549193,1.0,0.6572261284037372,0.20515578904689488,0.21417176811391297
rad2d,0.645880545098131,0.4893483740548403,0.5169032891341521,0.6095995185395103,0.6146710973063714,0.5290452183022284,0.33485927749554056,0.6062426658849994,0.683613377571272,0.6187146168246715,0.509192440326504,0.45740412627984456,0.5638305544145312,0.4400411865013575,0.5574393782316255,0.6235113766718531,0.6572261284037373,1.0,0.251938640778995,0.30785246703441793
ph2,0.19519726998338888,0.11812489082631132,0.13786076727080973,0.2633491903457006,0.20920166780150165,0.17764763848307794,0.2957983443006482,0.1445057068630469,0.1465183422378679,0.24826291980676915,0.18174660279054658,0.14720437965501004,0.21774011293684525,0.1932114022405859,0.27912311421722996,0.26487885305136144,0.20515578904689488,0.251938640778995,1.0,0.7880360110146859
ph3,0.22556215660771303,0.18361059969553364,0.18530800576470488,0.3015932840102091,0.23145184764732085,0.19224599747499585,0.30453722067780925,0.18237974452789515,0.19390418915678836,0.2758319278148979,0.2014602894310584,0.22094806747166434,0.2530412435540896,0.22246792398457085,0.32203045911956685,0.2904482742973465,0.21417176811391297,0.307852467034418,0.7880360110146859,0.9999999999999998
