,ecfp,avalon,tt,maccs,fcfp,ap,rdkit,map4,mhfp,pubchem,daylight,kr,lingo,estate,dfs,asp,lstar,rad2d,ph2,ph3
ecfp,1.0,0.5071141189301962,0.6907946124497846,0.6434111944126879,0.7361310360720776,0.6573974407489932,0.5068343672560484,0.6853263835161185,0.7751219838921738,0.6064046806094529,0.5927083754929853,0.5172586906028225,0.6813539881568987,0.5945371921048358,0.6763847492057768,0.7344994003027531,0.7369301448157562,0.6573254909213542,0.2075200743205893,0.2349778511363416
avalon,0.5071141189301962,1.0,0.450991968758589,0.7049967500074641,0.4449168170082951,0.6267749194856184,0.7931496969385637,0.667119325560218,0.6283784592990368,0.4478016463972079,0.5367209539226313,0.6052645803823142,0.5905239856880181,0.5415555706965691,0.7329258445528162,0.6352172913923588,0.4238354331099384,0.3411762967690535,0.255827417034084,0.3183847987820513
tt,0.6907946124497846,0.450991968758589,1.0,0.5370793148281018,0.6402103804442048,0.5935386253629921,0.4947674981504897,0.6550417017250422,0.6483524427145316,0.6025719011707643,0.5274631153944854,0.3913519833818183,0.6396182181370267,0.3917577204905831,0.7332755412267142,0.762730746179954,0.6350503329433929,0.5961575659612193,0.2024582326322228,0.244234616626838
maccs,0.6434111944126879,0.7049967500074641,0.5370793148281019,1.0,0.623316983108758,0.7274010051193461,0.6502052141356307,0.5605810703298834,0.609000131634289,0.6930194478198084,0.6589714203637648,0.644008938469751,0.6770715149416446,0.6888617435595725,0.6645577415633773,0.6674833994832104,0.5546407934121478,0.6156335267415731,0.2796069806686024,0.3121150836375681
fcfp,0.7361310360720777,0.4449168170082951,0.6402103804442046,0.623316983108758,1.0,0.6238794190990878,0.4877745676974739,0.7647708982419942,0.8917074082675538,0.6470698225939882,0.7349654099865794,0.6416833703589185,0.7217347996426611,0.6977740372218403,0.5902285694908165,0.675799782749533,0.6415658964775106,0.621893934218841,0.2186843160766325,0.2426598581445457
ap,0.6573974407489931,0.6267749194856184,0.5935386253629921,0.7274010051193461,0.623879419099088,1.0,0.6212331933570191,0.6774511298299223,0.6077719193429555,0.5766899756769055,0.5968147739101227,0.6084869220891976,0.6763844554569941,0.6814385911212559,0.6890603549559332,0.7273964396620987,0.5947983704481364,0.524469844109986,0.3383255248372389,0.3356226425410235
rdkit,0.5068343672560484,0.7931496969385637,0.4947674981504897,0.6502052141356307,0.4877745676974739,0.6212331933570191,1.0,0.4020146387196491,0.4466608812487314,0.5986697058363694,0.6547222858392564,0.434034939217741,0.5296237586212118,0.5311125295403287,0.7051346685154132,0.6451521329190381,0.4602179632615172,0.3439251517322955,0.3011865076848454,0.3105520535547022
map4,0.6853263835161185,0.667119325560218,0.6550417017250422,0.5605810703298834,0.7647708982419942,0.6774511298299222,0.4020146387196491,1.0,0.8549134278255199,0.4774289940791684,0.6771507668602565,0.6543274188326038,0.7252990079737327,0.5204080635810102,0.66361973944117,0.7464162012013561,0.6871693866890155,0.6166795154000807,0.1475934090995447,0.1864721728769609
mhfp,0.7751219838921739,0.6283784592990368,0.6483524427145315,0.609000131634289,0.8917074082675538,0.6077719193429555,0.4466608812487314,0.8549134278255199,1.0,0.6172860877262321,0.719451611763286,0.668914511133241,0.7609950909658099,0.6376946685532955,0.6439399134011677,0.7332784373246071,0.7152358097223132,0.6900184433660629,0.1532258048934595,0.2019749991263471
pubchem,0.6064046806094529,0.4478016463972079,0.6025719011707643,0.6930194478198084,0.6470698225939883,0.5766899756769055,0.5986697058363694,0.4774289940791684,0.6172860877262322,0.9999999999999998,0.6959739597071635,0.3613355161074714,0.5626424378376765,0.5961260213384529,0.539883971740754,0.5891050868984241,0.5005060705407028,0.6257331707261121,0.2643706785494976,0.2922977575969604
