,ecfp,avalon,tt,maccs,fcfp,ap,rdkit,map4,mhfp,pubchem,daylight,kr,lingo,estate,dfs,asp,lstar,rad2d,ph2,ph3
ecfp,1.0,0.6079235601360574,0.6285406193589251,0.6408054620250839,0.7317815149406554,0.6331238056504664,0.510542268150909,0.677902116377945,0.7713163677885062,0.6039422447801277,0.5797332129966831,0.5205961194576446,0.6754305821248603,0.5945407954657305,0.6757311706650966,0.7320340496305663,0.7341215408167665,0.6507125947914546,0.19632401919146963,0.2285399118401712
avalon,0.6079235601360574,0.9999999999999998,0.5836596854195979,0.5312161561815932,0.5661860346885798,0.590648588344238,0.47486213169280217,0.6606463600274893,0.62672033261475,0.45029103073118454,0.5434470176098722,0.48990521588270053,0.5551455563157816,0.43859187234950986,0.6116826666383264,0.6340164882798378,0.5418385770736597,0.5003051138593841,0.1122025064292403,0.17903329086997305
tt,0.6285406193589251,0.5836596854195979,1.0,0.43823897293813113,0.5706258671446307,0.5555415263555242,0.40674127352414896,0.6527666980055322,0.6460151471880164,0.43132529430496286,0.4651281145944806,0.424911046947249,0.5359864224451839,0.3720848173990858,0.6616213541897091,0.6901233509372015,0.6305478442136492,0.5255930201865965,0.13884632607215586,0.18650952687595032
maccs,0.6408054620250839,0.5312161561815932,0.43823897293813113,1.0,0.6285033966512357,0.5413658805902479,0.6554537926024002,0.5632081816406181,0.6150368009779887,0.6955103067677152,0.6595327655234806,0.6527843186709641,0.6798854511783273,0.6945697747949583,0.6619691531886395,0.6647485008814954,0.5508176749282531,0.6128761647686952,0.27063188375412084,0.30775998766182844
fcfp,0.7317815149406554,0.5661860346885798,0.5706258671446307,0.6285033966512357,1.0,0.5924995145356009,0.49119683842611095,0.7646735048424748,0.8908543291339704,0.6517330602950191,0.7330429561995234,0.6523107021239214,0.7186436215998058,0.7042453911425909,0.5893789150807264,0.6727050307373145,0.6363034423431302,0.618920330245891,0.21688122415666855,0.2428536865240641
ap,0.6331238056504664,0.590648588344238,0.5555415263555242,0.541365880590248,0.5924995145356009,1.0,0.3803361477380509,0.6795987292501774,0.6081255857875809,0.4638073359962346,0.5199751375135198,0.5216006787890213,0.5270055735290156,0.5656729702796797,0.52113852579303,0.6083242177583842,0.5906192906985364,0.5365486459944468,0.16839545578971582,0.1920170586543978
rdkit,0.510542268150909,0.47486213169280217,0.4067412735241489,0.6554537926024003,0.49119683842611095,0.3803361477380509,1.0,0.39960056260768767,0.45153052943075844,0.6076961455565676,0.6479676365752568,0.4392445930897325,0.5387710756488,0.5381143200683348,0.7045862468743069,0.6472555154404128,0.4636148945353423,0.3449889325563778,0.2955082845151416,0.3089236985944097
map4,0.6779021163779451,0.6606463600274893,0.6527666980055322,0.5632081816406181,0.7646735048424748,0.6795987292501774,0.39960056260768767,1.0,0.852800736105033,0.48014251127737423,0.6776964734640604,0.6661833806735712,0.7184540373187974,0.5236173889609449,0.6589222267438973,0.7408674382548203,0.6830644297932555,0.6125485014909183,0.14505470637055248,0.18282671502051123
mhfp,0.7713163677885061,0.62672033261475,0.6460151471880164,0.6150368009779887,0.8908543291339703,0.6081255857875809,0.45153052943075844,0.8528007361050329,0.9999999999999999,0.621351373831306,0.7162484110966539,0.681115387232626,0.7564967406793429,0.6457164729033786,0.6445671216664999,0.7314503636255943,0.7137091340083069,0.6879960204011566,0.15579564090054232,0.2036465722821374
pubchem,0.6039422447801277,0.45029103073118454,0.43132529430496286,0.6955103067677151,0.6517330602950191,0.46380733599623464,0.6076961455565676,0.48014251127737423,0.621351373831306,1.0,0.6943545937581143,0.3786144415932052,0.5679821999220807,0.6084822112558574,0.5411922143991541,0.5884519916217971,0.4981507477282011,0.6204630903793523,0.2615745734229865,0.28328135411874983
daylight,0.5797332129966831,0.5434470176098722,0.46512811459448056,0.6595327655234806,0.7330429561995235,0.5199751375135196,0.6479676365752568,0.6776964734640603,0.7162484110966538,0.6943545937581143,1.0,0.6766523606923212,0.6437430487154783,0.679877668028189,0.5598233403933102,0.6218152255150876,0.5130457558598179,0.5151215892961007,0.19040215540485378,0.20854562991747203
kr,0.5205961194576447,0.48990521588270053,0.424911046947249,0.6527843186709642,0.6523107021239215,0.5216006787890213,0.43924459308973257,0.6661833806735712,0.681115387232626,0.3786144415932051,0.6766523606923212,1.0,0.6550054949434937,0.6994333164865186,0.5321603849668151,0.5480645471790115,0.4544030305626433,0.46857353540194474,0.1565863957705108,0.23098906740368824
lingo,0.6754305821248604,0.5551455563157817,0.5359864224451839,0.6798854511783274,0.7186436215998058,0.5270055735290156,0.5387710756488,0.7184540373187975,0.756496740679343,0.5679821999220807,0.6437430487154783,0.6550054949434937,1.0,0.6138494843378971,0.6868426400244021,0.7161253666564245,0.5937130450908801,0.564637431125143,0.2194532750661259,0.25714403376664946
estate,0.5945407954657305,0.4385918723495099,0.37208481739908583,0.6945697747949583,0.7042453911425909,0.5656729702796797,0.5381143200683348,0.523617388960945,0.6457164729033786,0.6084822112558574,0.679877668028189,0.6994333164865185,0.613849484337897,1.0,0.48993325799925475,0.5270538979663565,0.466412177333987,0.444201093117565,0.20066733371218956,0.23712342829666896
dfs,0.6757311706650966,0.6116826666383263,0.6616213541897091,0.6619691531886395,0.5893789150807264,0.52113852579303,0.704586246874307,0.6589222267438973,0.6445671216664999,0.5411922143991541,0.5598233403933102,0.5321603849668151,0.6868426400244021,0.4899332579992548,1.0,0.9245187699715454,0.7147405424435282,0.5623857880539777,0.2750887606778879,0.3178772101962312
asp,0.7320340496305663,0.6340164882798378,0.6901233509372015,0.6647485008814954,0.6727050307373145,0.6083242177583842,0.6472555154404128,0.7408674382548203,0.7314503636255945,0.588451991621797,0.6218152255150877,0.5480645471790115,0.7161253666564245,0.5270538979663565,0.9245187699715453,1.0,0.7708018248498316,0.6281778635377969,0.2640227296383741,0.2903839608562807
lstar,0.7341215408167666,0.5418385770736597,0.6305478442136492,0.5508176749282531,0.6363034423431302,0.5906192906985362,0.4636148945353423,0.6830644297932555,0.7137091340083069,0.49815074772820117,0.5130457558598179,0.45440303056264325,0.5937130450908801,0.4664121773339871,0.7147405424435281,0.7708018248498317,0.9999999999999999,0.6578828865704418,0.20605491614939359,0.21775106010460235
rad2d,0.6507125947914545,0.5003051138593841,0.5255930201865966,0.6128761647686952,0.618920330245891,0.5365486459944468,0.34498893255637786,0.6125485014909183,0.6879960204011566,0.6204630903793522,0.5151215892961009,0.4685735354019448,0.564637431125143,0.444201093117565,0.5623857880539778,0.628177863537797,0.6578828865704418,1.0,0.2629214100761089,0.3158850969676325
ph2,0.19632401919146963,0.1122025064292403,0.13884632607215586,0.27063188375412084,0.21688122415666852,0.1683954557897158,0.2955082845151416,0.14505470637055248,0.15579564090054232,0.26157457342298646,0.19040215540485378,0.1565863957705108,0.2194532750661259,0.20066733371218956,0.2750887606778879,0.2640227296383741,0.20605491614939359,0.2629214100761089,1.0,0.793065473769396
ph3,0.22853991184017122,0.17903329086997308,0.18650952687595032,0.30775998766182844,0.24285368652406408,0.1920170586543978,0.3089236985944097,0.18282671502051123,0.2036465722821374,0.28328135411874983,0.20854562991747203,0.23098906740368824,0.2571440337666495,0.23712342829666896,0.3178772101962312,0.2903839608562807,0.21775106010460235,0.3158850969676325,0.793065473769396,1.0
