,ap,tt,avalon,ap_c,tt_c,avalon_c
ap,0.9999999999999998,0.606182837499627,0.5386966260355238,0.7637908880158938,0.45885371377026907,0.4443190805202394
tt,0.606182837499627,1.0,0.37713165997697456,0.4520788805108268,0.7468895477250252,0.44540527550708964
avalon,0.5386966260355238,0.37713165997697456,1.0,0.4159968480182389,0.32570787724298333,0.6621310073281303
ap_c,0.7637908880158938,0.4520788805108268,0.4159968480182389,0.9999999999999999,0.4963766496772022,0.515319101104439
tt_c,0.458853713770269,0.7468895477250252,0.32570787724298333,0.4963766496772022,1.0,0.4647310067868642
avalon_c,0.4443190805202394,0.4454052755070897,0.6621310073281303,0.515319101104439,0.46473100678686424,1.0
