,ap,ap_c,avalon,avalon_c,tt,tt_c
ap,1.0,0.04201680672268907,0.04201680672268907,0.04201680672268907,0.04201680672268907,0.04201680672268907
ap_c,0.04201680672268907,1.0,0.43137254901960775,0.04201680672268907,0.04201680672268907,0.04201680672268907
avalon,0.04201680672268907,0.43137254901960775,1.0,0.04201680672268907,0.04201680672268907,0.04201680672268907
avalon_c,0.04201680672268907,0.04201680672268907,0.04201680672268907,1.0,0.04201680672268907,0.04201680672268907
tt,0.04201680672268907,0.04201680672268907,0.04201680672268907,0.04201680672268907,1.0,0.04201680672268907
tt_c,0.04201680672268907,0.04201680672268907,0.04201680672268907,0.04201680672268907,0.04201680672268907,1.0
