,ap,tt,avalon,ap_c,tt_c,avalon_c
ap,1.0,0.590485476134978,0.6254258545187708,0.7496583618234323,0.5037005293635726,0.4778343261415781
tt,0.590485476134978,0.9999999999999998,0.45051451103030726,0.4756919695542407,0.7818123150992087,0.5453257318979414
avalon,0.6254258545187709,0.45051451103030726,1.0,0.41850114722848253,0.4064677584930351,0.6236243700234076
ap_c,0.7496583618234322,0.47569196955424065,0.41850114722848253,1.0,0.5561725986350659,0.586831023396753
tt_c,0.5037005293635726,0.7818123150992087,0.4064677584930351,0.5561725986350659,1.0,0.5806646678021256
avalon_c,0.47783432614157806,0.5453257318979414,0.6236243700234076,0.586831023396753,0.5806646678021257,1.0
