,ap,tt,avalon,ap_c,tt_c,avalon_c
ap,1.0,0.5935386253629921,0.6267749194856184,0.7534528557062062,0.5052200353161234,0.4822600986289456
tt,0.5935386253629921,1.0,0.45099196875858905,0.48091537188549266,0.7802605548891718,0.5514351298656556
avalon,0.6267749194856184,0.45099196875858905,1.0,0.42326344067756033,0.40489009725434355,0.6241119671397055
ap_c,0.7534528557062063,0.48091537188549266,0.42326344067756033,0.9999999999999998,0.557131757774205,0.5913505200762742
tt_c,0.5052200353161235,0.7802605548891718,0.4048900972543436,0.5571317577742049,1.0,0.5846550064867869
avalon_c,0.48226009862894553,0.5514351298656556,0.6241119671397055,0.5913505200762742,0.5846550064867869,1.0
