,ap,tt,avalon,ap_c,tt_c,avalon_c
ap,0.9999999999999999,0.596477949370964,0.6228388289595065,0.7497936267808829,0.5065658752496753,0.48649199982065194
tt,0.596477949370964,1.0,0.45676102462523127,0.4785215023137119,0.7821781090607769,0.5495079154618232
avalon,0.6228388289595065,0.45676102462523127,1.0,0.4180523898703503,0.4075608785672137,0.6344846875749769
ap_c,0.749793626780883,0.4785215023137118,0.4180523898703503,1.0,0.5601544264592805,0.5894055421656842
tt_c,0.5065658752496753,0.7821781090607769,0.40756087856721374,0.5601544264592805,1.0,0.5850658696320719
avalon_c,0.4864919998206519,0.5495079154618232,0.634484687574977,0.5894055421656842,0.5850658696320719,1.0
