,ap,tt,avalon,ap_c,tt_c,avalon_c
ap,1.0,0.5904811778843564,0.6184440151139343,0.7530901269340938,0.5042901595962016,0.47948029043667256
tt,0.5904811778843563,1.0,0.45285166596445137,0.4695053628548212,0.7811897961629566,0.5428190419687242
avalon,0.6184440151139343,0.4528516659644514,1.0,0.4164185182053589,0.405869177690041,0.6311444667897494
ap_c,0.7530901269340938,0.4695053628548212,0.4164185182053589,1.0,0.5495552826824963,0.5826621134235763
tt_c,0.5042901595962016,0.7811897961629566,0.40586917769004105,0.5495552826824963,1.0,0.5776988758552666
avalon_c,0.4794802904366726,0.5428190419687242,0.6311444667897494,0.5826621134235763,0.5776988758552666,0.9999999999999998
