,ap,tt,avalon,ap_c,tt_c,avalon_c
ap,1.0,0.5902552283753855,0.6196596859910067,0.7481088303554679,0.4994929276881589,0.48186965585070063
tt,0.5902552283753855,1.0,0.4511431290928368,0.47677417323086374,0.7827144281431411,0.5513016574316664
avalon,0.6196596859910067,0.4511431290928368,1.0,0.4131998331562471,0.4031344519326227,0.6257615451550191
ap_c,0.748108830355468,0.47677417323086374,0.4131998331562471,1.0,0.5551826903712792,0.5930489914017887
tt_c,0.4994929276881589,0.782714428143141,0.4031344519326227,0.5551826903712792,0.9999999999999998,0.584257933727818
avalon_c,0.48186965585070063,0.5513016574316663,0.6257615451550191,0.5930489914017887,0.584257933727818,1.0
