,ap,tt,avalon,ap_c,tt_c,avalon_c
ap,1.0,0.5924423288149024,0.6269568368454633,0.7512551972663424,0.504710671309869,0.4783748771412117
tt,0.5924423288149024,1.0,0.4532753946587799,0.47779856767804507,0.7839184421750438,0.5490973359179269
avalon,0.6269568368454632,0.45327539465877986,1.0,0.41963662652969214,0.40690561966936983,0.6208591341719095
ap_c,0.7512551972663424,0.4777985676780452,0.41963662652969214,0.9999999999999998,0.5556416013171311,0.5866593097552104
tt_c,0.504710671309869,0.7839184421750438,0.40690561966936983,0.555641601317131,1.0,0.5805211329063089
avalon_c,0.47837487714121163,0.5490973359179269,0.6208591341719094,0.5866593097552104,0.580521132906309,0.9999999999999998
