,ap,tt,avalon,ap_c,tt_c,avalon_c
ap,0.9999999999999999,0.5925974639070636,0.6267471352388906,0.7497360899011979,0.5031673516514759,0.48127652627105466
tt,0.5925974639070637,1.0,0.45826239628584364,0.467436214402878,0.779434741164615,0.5356475107324841
avalon,0.6267471352388906,0.45826239628584364,1.0,0.41974666291273344,0.41086556623419623,0.6358043882728786
ap_c,0.7497360899011979,0.467436214402878,0.41974666291273344,1.0,0.5449628543071316,0.5810661852412135
tt_c,0.5031673516514759,0.779434741164615,0.41086556623419623,0.5449628543071315,1.0,0.5698794405967761
avalon_c,0.4812765262710547,0.5356475107324841,0.6358043882728786,0.5810661852412135,0.5698794405967761,0.9999999999999998
