,ap,tt,avalon,ap_c,tt_c,avalon_c
ap,1.0,0.5901427643202649,0.6155198523019152,0.7425191816431339,0.4991916424100911,0.4756588044165747
tt,0.5901427643202648,0.9999999999999998,0.45157024654811817,0.46395763932052825,0.7808537526466028,0.5424919535780988
avalon,0.6155198523019152,0.45157024654811817,1.0,0.4028440133501681,0.4030480352172696,0.6233171206818282
ap_c,0.7425191816431339,0.4639576393205283,0.40284401335016806,0.9999999999999998,0.5441300404829922,0.5793925429893003
tt_c,0.49919164241009106,0.7808537526466028,0.40304803521726956,0.5441300404829922,1.0,0.5753814877300707
avalon_c,0.47565880441657465,0.5424919535780988,0.6233171206818283,0.5793925429893003,0.5753814877300707,1.0
