,ap,tt,avalon,ap_c,tt_c,avalon_c
ap,1.0,0.5920185410831417,0.6179008213054719,0.7509033037560675,0.5054643015030672,0.48166974877376434
tt,0.5920185410831417,0.9999999999999998,0.4488006356181696,0.47388776000297284,0.7794702081737843,0.5474123212176314
avalon,0.6179008213054719,0.4488006356181695,0.9999999999999999,0.41490509677742154,0.40531905547846503,0.6258838967318683
ap_c,0.7509033037560676,0.47388776000297284,0.4149050967774216,1.0,0.554925839660368,0.5875254406743015
tt_c,0.5054643015030672,0.7794702081737842,0.40531905547846503,0.554925839660368,1.0,0.5818163031109207
avalon_c,0.48166974877376434,0.5474123212176313,0.6258838967318683,0.5875254406743015,0.5818163031109207,1.0
