,ap,asp,avalon,daylight,dfs,ecfp,estate,fcfp,kr,lingo,lstar,maccs,map4,mhfp,ph2,ph3,pubchem,rad2d,rdkit,tt
ap,1.0,0.295993,0.24639699999999998,0.236236,0.260925,0.299217,0.22974499999999998,0.300454,0.267566,0.255699,0.26429300000000006,0.268403,0.393045,0.292506,0.033608000000000006,0.06725700000000001,0.265323,0.24739099999999997,0.242995,0.294433
asp,0.295993,1.0,0.29585100000000003,0.299349,0.626131,0.412692,0.148203,0.37123100000000003,0.28434599999999993,0.30104699999999995,0.42652700000000004,0.234564,0.451666,0.429384,0.032185000000000005,0.084758,0.263637,0.355194,0.30550700000000003,0.43741900000000006
avalon,0.24639699999999998,0.29585100000000003,1.0,0.339633,0.314228,0.282717,0.19898300000000002,0.30533,0.28922000000000003,0.258726,0.24192400000000003,0.308041,0.314233,0.313492,0.026466000000000003,0.07245800000000001,0.336336,0.24915199999999998,0.383233,0.288221
daylight,0.236236,0.299349,0.339633,1.0,0.28810699999999995,0.268343,0.208825,0.33095300000000005,0.31482000000000004,0.24728199999999997,0.233625,0.243558,0.34116799999999997,0.32723900000000006,0.027678000000000005,0.066167,0.376974,0.234981,0.45312399999999997,0.256787
dfs,0.260925,0.626131,0.314228,0.28810699999999995,1.0,0.40257,0.144875,0.354466,0.270767,0.295209,0.42323200000000005,0.230159,0.403024,0.407291,0.028299,0.08436700000000003,0.26059000000000004,0.34503999999999996,0.31098600000000004,0.462767
ecfp,0.299217,0.412692,0.282717,0.268343,0.40257,1.0,0.180339,0.440891,0.302266,0.337513,0.47258599999999995,0.262891,0.450646,0.524194,0.03191,0.082931,0.275957,0.38301599999999997,0.272535,0.404929
estate,0.22974499999999998,0.148203,0.19898300000000002,0.208825,0.144875,0.180339,1.0,0.22757600000000003,0.207369,0.165135,0.14054,0.221664,0.183529,0.192078,0.019726999999999998,0.04275000000000001,0.23664899999999997,0.13905700000000001,0.185254,0.158088
fcfp,0.300454,0.37123100000000003,0.30533,0.33095300000000005,0.354466,0.440891,0.22757600000000003,1.0,0.360025,0.33979400000000004,0.374025,0.282891,0.5013620000000001,0.598117,0.037842999999999995,0.08692799999999999,0.348982,0.370551,0.327463,0.373183
kr,0.267566,0.28434599999999993,0.28922000000000003,0.31482000000000004,0.270767,0.302266,0.207369,0.360025,1.0,0.26938999999999996,0.26927,0.280646,0.368867,0.37381099999999995,0.032432,0.07338000000000001,0.341122,0.284004,0.33448,0.290368
lingo,0.255699,0.30104699999999995,0.258726,0.24728199999999997,0.295209,0.337513,0.165135,0.33979400000000004,0.26938999999999996,1.0,0.290989,0.24953900000000004,0.35924900000000004,0.35663500000000004,0.030731,0.076708,0.256765,0.27997799999999995,0.255137,0.29155699999999996
lstar,0.26429300000000006,0.42652700000000004,0.24192400000000003,0.233625,0.42323200000000005,0.47258599999999995,0.14054,0.374025,0.26927,0.290989,1.0,0.22837200000000002,0.404526,0.466291,0.031970000000000005,0.083431,0.239273,0.414217,0.23848699999999998,0.355814
maccs,0.268403,0.234564,0.308041,0.243558,0.230159,0.262891,0.221664,0.282891,0.280646,0.24953900000000004,0.22837200000000002,1.0,0.273229,0.270241,0.026346000000000005,0.061853000000000005,0.297597,0.262038,0.2555,0.235177
map4,0.393045,0.451666,0.314233,0.34116799999999997,0.403024,0.450646,0.183529,0.5013620000000001,0.368867,0.35924900000000004,0.404526,0.273229,1.0,0.5788220000000001,0.037848,0.086743,0.337928,0.386036,0.34450299999999995,0.394303
mhfp,0.292506,0.429384,0.313492,0.32723900000000006,0.407291,0.524194,0.192078,0.598117,0.37381099999999995,0.35663500000000004,0.466291,0.270241,0.5788220000000001,1.0,0.03463,0.088252,0.34359799999999996,0.441812,0.330534,0.4046160000000001
ph2,0.033608000000000006,0.032185000000000005,0.026466000000000003,0.027678000000000005,0.028299,0.03191,0.019726999999999998,0.037842999999999995,0.032432,0.030731,0.031970000000000005,0.026346000000000005,0.037848,0.03463,1.0,0.061297000000000004,0.02696,0.032886,0.026799,0.027102000000000005
ph3,0.06725700000000001,0.084758,0.07245800000000001,0.066167,0.08436700000000003,0.082931,0.04275000000000001,0.08692799999999999,0.07338000000000001,0.076708,0.083431,0.061853000000000005,0.086743,0.088252,0.061297000000000004,1.0,0.069179,0.08790600000000001,0.072803,0.07548600000000001
pubchem,0.265323,0.263637,0.336336,0.376974,0.26059000000000004,0.275957,0.23664899999999997,0.348982,0.341122,0.256765,0.239273,0.297597,0.337928,0.34359799999999996,0.02696,0.069179,1.0,0.27567800000000003,0.35689399999999993,0.269103
rad2d,0.24739099999999997,0.355194,0.24915199999999998,0.234981,0.34503999999999996,0.38301599999999997,0.13905700000000001,0.370551,0.284004,0.27997799999999995,0.414217,0.262038,0.386036,0.441812,0.032886,0.08790600000000001,0.27567800000000003,1.0,0.24076499999999995,0.322495
rdkit,0.242995,0.30550700000000003,0.383233,0.45312399999999997,0.31098600000000004,0.272535,0.185254,0.327463,0.33448,0.255137,0.23848699999999998,0.2555,0.34450299999999995,0.330534,0.026799,0.072803,0.35689399999999993,0.24076499999999995,1.0,0.28263599999999994
tt,0.294433,0.43741900000000006,0.288221,0.256787,0.462767,0.404929,0.158088,0.373183,0.290368,0.29155699999999996,0.355814,0.235177,0.394303,0.4046160000000001,0.027102000000000005,0.07548600000000001,0.269103,0.322495,0.28263599999999994,1.0
