,ap,asp,avalon,daylight,dfs,ecfp,estate,fcfp,kr,lingo,lstar,maccs,map4,mhfp,ph2,ph3,pubchem,rad2d,rdkit,tt
ap,1.0,0.297709,0.24609700000000004,0.23625,0.261063,0.299084,0.23480399999999998,0.299809,0.270324,0.25690100000000005,0.264129,0.26914200000000005,0.392951,0.29356100000000007,0.032139999999999995,0.06945300000000001,0.266963,0.24773699999999999,0.242919,0.294943
asp,0.297709,1.0,0.29516499999999996,0.30294400000000005,0.625663,0.41188099999999994,0.149194,0.369939,0.285323,0.301863,0.424721,0.234506,0.45114400000000004,0.428412,0.031467,0.08815500000000003,0.2653,0.357779,0.31018,0.43944300000000003
avalon,0.24609700000000004,0.29516499999999996,1.0,0.342489,0.312079,0.282724,0.19969800000000001,0.306196,0.288551,0.26033300000000004,0.24161799999999997,0.30622299999999997,0.312204,0.314037,0.025364,0.07567200000000002,0.33770200000000006,0.24895299999999998,0.38384700000000005,0.289393
daylight,0.23625,0.30294400000000005,0.342489,1.0,0.29338000000000003,0.271712,0.20791200000000004,0.33157800000000004,0.316583,0.24968200000000002,0.23488699999999998,0.240621,0.340555,0.327225,0.026621000000000002,0.067498,0.374694,0.23654300000000003,0.45092,0.26066399999999995
dfs,0.261063,0.625663,0.312079,0.29338000000000003,1.0,0.40085299999999996,0.14484,0.351872,0.27013899999999996,0.295428,0.42185200000000006,0.22984899999999997,0.402383,0.406242,0.027678000000000005,0.087997,0.26207,0.346883,0.31822900000000004,0.462362
ecfp,0.299084,0.41188099999999994,0.282724,0.271712,0.40085299999999996,1.0,0.183239,0.444813,0.305852,0.338838,0.47268699999999997,0.264828,0.45204400000000006,0.527607,0.029830000000000006,0.08367500000000001,0.277467,0.386219,0.27329200000000003,0.410469
estate,0.23480399999999998,0.149194,0.19969800000000001,0.20791200000000004,0.14484,0.183239,1.0,0.22837600000000002,0.20961300000000002,0.166956,0.142329,0.224536,0.18510900000000002,0.19409300000000002,0.020367000000000003,0.043465000000000004,0.237852,0.13938,0.183957,0.158084
fcfp,0.299809,0.369939,0.306196,0.33157800000000004,0.351872,0.444813,0.22837600000000002,1.0,0.36494800000000005,0.33933700000000006,0.37444,0.28379499999999996,0.5033660000000001,0.6004710000000001,0.035539,0.08779600000000001,0.350175,0.372724,0.324846,0.376705
kr,0.270324,0.285323,0.288551,0.316583,0.27013899999999996,0.305852,0.20961300000000002,0.36494800000000005,1.0,0.26989300000000005,0.27114000000000005,0.283725,0.372008,0.377621,0.031462000000000004,0.07442100000000001,0.34151400000000004,0.28613,0.33125,0.291227
lingo,0.25690100000000005,0.301863,0.26033300000000004,0.24968200000000002,0.295428,0.338838,0.166956,0.33933700000000006,0.26989300000000005,1.0,0.290624,0.25039100000000003,0.36044899999999996,0.356838,0.02916700000000001,0.07752300000000001,0.25732,0.279225,0.254992,0.29263100000000003
lstar,0.264129,0.424721,0.24161799999999997,0.23488699999999998,0.42185200000000006,0.47268699999999997,0.142329,0.37444,0.27114000000000005,0.290624,1.0,0.23049499999999998,0.4054809999999999,0.468092,0.030947000000000002,0.08523,0.240468,0.417159,0.23941700000000002,0.356879
maccs,0.26914200000000005,0.234506,0.30622299999999997,0.240621,0.22984899999999997,0.264828,0.224536,0.28379499999999996,0.283725,0.25039100000000003,0.23049499999999998,1.0,0.274567,0.272696,0.026093,0.064782,0.297302,0.263128,0.252842,0.23730199999999999
map4,0.392951,0.45114400000000004,0.312204,0.340555,0.402383,0.45204400000000006,0.18510900000000002,0.5033660000000001,0.372008,0.36044899999999996,0.4054809999999999,0.274567,1.0,0.578574,0.035735,0.08796400000000001,0.3389,0.388266,0.33974099999999996,0.398165
mhfp,0.29356100000000007,0.428412,0.314037,0.327225,0.406242,0.527607,0.19409300000000002,0.6004710000000001,0.377621,0.356838,0.468092,0.272696,0.578574,1.0,0.032447000000000004,0.089468,0.343547,0.443921,0.32781099999999996,0.408994
ph2,0.032139999999999995,0.031467,0.025364,0.026621000000000002,0.027678000000000005,0.029830000000000006,0.020367000000000003,0.035539,0.031462000000000004,0.02916700000000001,0.030947000000000002,0.026093,0.035735,0.032447000000000004,1.0,0.06456700000000001,0.027722000000000004,0.03082,0.027286,0.025758000000000003
ph3,0.06945300000000001,0.08815500000000003,0.07567200000000002,0.067498,0.087997,0.08367500000000001,0.043465000000000004,0.08779600000000001,0.07442100000000001,0.07752300000000001,0.08523,0.064782,0.08796400000000001,0.089468,0.06456700000000001,1.0,0.072009,0.09043100000000001,0.074268,0.077842
pubchem,0.266963,0.2653,0.33770200000000006,0.374694,0.26207,0.277467,0.237852,0.350175,0.34151400000000004,0.25732,0.240468,0.297302,0.3389,0.343547,0.027722000000000004,0.072009,1.0,0.27523400000000003,0.352945,0.26989300000000005
rad2d,0.24773699999999999,0.357779,0.24895299999999998,0.23654300000000003,0.346883,0.386219,0.13938,0.372724,0.28613,0.279225,0.417159,0.263128,0.388266,0.443921,0.03082,0.09043100000000001,0.27523400000000003,1.0,0.238127,0.323988
rdkit,0.242919,0.31018,0.38384700000000005,0.45092,0.31822900000000004,0.27329200000000003,0.183957,0.324846,0.33125,0.254992,0.23941700000000002,0.252842,0.33974099999999996,0.32781099999999996,0.027286,0.074268,0.352945,0.238127,1.0,0.283804
tt,0.294943,0.43944300000000003,0.289393,0.26066399999999995,0.462362,0.410469,0.158084,0.376705,0.291227,0.29263100000000003,0.356879,0.23730199999999999,0.398165,0.408994,0.025758000000000003,0.077842,0.26989300000000005,0.323988,0.283804,1.0
