,ap,asp,avalon,daylight,dfs,ecfp,estate,fcfp,kr,lingo,lstar,maccs,map4,mhfp,ph2,ph3,pubchem,rad2d,rdkit,tt
ap,1.0,0.29444899999999996,0.245817,0.233402,0.25863200000000003,0.29806099999999996,0.227974,0.29697000000000007,0.269529,0.25458100000000006,0.263081,0.26934400000000003,0.39027900000000004,0.29090299999999997,0.03360200000000001,0.06926399999999999,0.26377300000000004,0.24504099999999998,0.23941500000000002,0.292688
asp,0.29444899999999996,1.0,0.29816800000000004,0.30300200000000005,0.625961,0.415575,0.14974,0.373626,0.28804300000000005,0.3036000000000001,0.425455,0.23699300000000004,0.452059,0.432039,0.03313,0.086245,0.26925,0.358161,0.30731099999999995,0.439478
avalon,0.245817,0.29816800000000004,1.0,0.34069699999999997,0.315984,0.28480500000000003,0.197966,0.306748,0.289263,0.26009299999999996,0.242006,0.309246,0.313842,0.316644,0.025828000000000004,0.075103,0.339812,0.25023100000000004,0.382031,0.291486
daylight,0.233402,0.30300200000000005,0.34069699999999997,1.0,0.291866,0.27169399999999994,0.20282,0.33169399999999993,0.31494300000000003,0.247977,0.23383800000000002,0.242404,0.340668,0.328308,0.025608000000000006,0.06634900000000002,0.373121,0.237473,0.44920200000000005,0.25903200000000004
dfs,0.25863200000000003,0.625961,0.315984,0.291866,1.0,0.40604300000000004,0.14611500000000002,0.35567200000000004,0.274158,0.29838499999999996,0.425026,0.233578,0.40320100000000003,0.41018600000000005,0.028945000000000005,0.08599100000000001,0.265453,0.34880900000000004,0.31337000000000004,0.463484
ecfp,0.29806099999999996,0.415575,0.28480500000000003,0.27169399999999994,0.40604300000000004,1.0,0.181903,0.443267,0.307226,0.34161199999999997,0.475587,0.264843,0.45364799999999994,0.5296719999999999,0.030427,0.083106,0.28021899999999994,0.385758,0.27355799999999997,0.408825
estate,0.227974,0.14974,0.197966,0.20282,0.14611500000000002,0.181903,1.0,0.226402,0.20683,0.16385999999999998,0.141155,0.221619,0.184167,0.192591,0.021403000000000002,0.044009000000000006,0.23494700000000002,0.139478,0.181642,0.15932800000000003
fcfp,0.29697000000000007,0.373626,0.306748,0.33169399999999993,0.35567200000000004,0.443267,0.226402,1.0,0.36169599999999996,0.34062600000000004,0.37316400000000005,0.28369300000000003,0.501351,0.5986389999999999,0.035238000000000005,0.08730200000000002,0.351013,0.371469,0.324512,0.375116
kr,0.269529,0.28804300000000005,0.289263,0.31494300000000003,0.274158,0.307226,0.20683,0.36169599999999996,1.0,0.27044100000000004,0.2714750000000001,0.28027399999999997,0.37088699999999997,0.375802,0.031331000000000005,0.073726,0.340741,0.28459900000000005,0.330429,0.29428499999999996
lingo,0.25458100000000006,0.3036000000000001,0.26009299999999996,0.247977,0.29838499999999996,0.34161199999999997,0.16385999999999998,0.34062600000000004,0.27044100000000004,1.0,0.292371,0.248669,0.361091,0.3594040000000001,0.029871000000000005,0.07582400000000003,0.257743,0.279692,0.254283,0.292437
