,ap,asp,avalon,daylight,dfs,ecfp,estate,fcfp,kr,lingo,lstar,maccs,map4,mhfp,ph2,ph3,pubchem,rad2d,rdkit,tt
ap,1.0,0.29406800000000005,0.24575400000000003,0.233,0.259334,0.295729,0.232942,0.29673,0.26792699999999997,0.254816,0.261455,0.265323,0.39118100000000006,0.290354,0.031872000000000004,0.068108,0.26413600000000004,0.24353399999999997,0.236725,0.29198
asp,0.29406800000000005,1.0,0.29543300000000006,0.299959,0.626182,0.41183600000000004,0.14997900000000003,0.370097,0.284409,0.299521,0.42410299999999995,0.23295500000000002,0.45041400000000004,0.42940900000000004,0.030980000000000008,0.08617000000000001,0.267171,0.354979,0.299792,0.44040700000000005
avalon,0.24575400000000003,0.29543300000000006,1.0,0.337768,0.313287,0.281684,0.199461,0.305241,0.285373,0.256956,0.24082800000000001,0.30596100000000004,0.311796,0.31314899999999996,0.024509,0.07465300000000002,0.33717,0.24788200000000002,0.37838000000000005,0.288248
daylight,0.233,0.299959,0.337768,1.0,0.289982,0.26694700000000005,0.207394,0.327662,0.312096,0.244311,0.23086400000000004,0.240062,0.337169,0.324763,0.025608000000000006,0.066067,0.37221000000000004,0.23384100000000002,0.44778599999999996,0.25558
dfs,0.259334,0.626182,0.313287,0.289982,1.0,0.403146,0.14594100000000002,0.354231,0.269412,0.294242,0.42313,0.228436,0.40325800000000006,0.40831100000000004,0.026947000000000002,0.08474900000000002,0.264347,0.34521,0.306607,0.46404799999999996
ecfp,0.295729,0.41183600000000004,0.281684,0.26694700000000005,0.403146,1.0,0.182203,0.4411360000000001,0.302045,0.336899,0.473943,0.26368800000000003,0.44953099999999996,0.5264639999999999,0.029550000000000007,0.08215800000000001,0.276928,0.381916,0.268475,0.409067
estate,0.232942,0.14997900000000003,0.199461,0.207394,0.14594100000000002,0.182203,1.0,0.22723000000000002,0.208252,0.16592,0.141806,0.220448,0.186611,0.19425599999999998,0.020095000000000005,0.04142900000000001,0.23685,0.13886300000000001,0.18498199999999998,0.16031
fcfp,0.29673,0.370097,0.305241,0.327662,0.354231,0.4411360000000001,0.22723000000000002,1.0,0.36055499999999996,0.336848,0.372813,0.28163900000000003,0.501286,0.596716,0.035641000000000006,0.08773100000000002,0.348829,0.370053,0.320741,0.37499699999999997
kr,0.26792699999999997,0.284409,0.285373,0.312096,0.269412,0.302045,0.208252,0.36055499999999996,1.0,0.26909700000000003,0.267644,0.280323,0.36948400000000003,0.376096,0.031584,0.07425,0.340693,0.283455,0.325538,0.290352
lingo,0.254816,0.299521,0.256956,0.244311,0.294242,0.336899,0.16592,0.336848,0.26909700000000003,1.0,0.287667,0.24655900000000003,0.35947399999999996,0.355918,0.028816,0.075202,0.25592000000000004,0.277615,0.25156100000000003,0.290423
lstar,0.261455,0.42410299999999995,0.24082800000000001,0.23086400000000004,0.42313,0.473943,0.141806,0.372813,0.267644,0.287667,1.0,0.227465,0.402922,0.46756900000000007,0.030715000000000003,0.084068,0.23984300000000003,0.41355,0.23400100000000001,0.357067
maccs,0.265323,0.23295500000000002,0.30596100000000004,0.240062,0.228436,0.26368800000000003,0.220448,0.28163900000000003,0.280323,0.24655900000000003,0.227465,1.0,0.272697,0.271876,0.02561,0.06212700000000001,0.296538,0.26167699999999994,0.251603,0.235508
map4,0.39118100000000006,0.45041400000000004,0.311796,0.337169,0.40325800000000006,0.44953099999999996,0.186611,0.501286,0.36948400000000003,0.35947399999999996,0.402922,0.272697,1.0,0.578924,0.035938,0.08794300000000001,0.338848,0.38543499999999997,0.33690400000000004,0.39681099999999997
mhfp,0.290354,0.42940900000000004,0.31314899999999996,0.324763,0.40831100000000004,0.5264639999999999,0.19425599999999998,0.596716,0.376096,0.355918,0.46756900000000007,0.271876,0.578924,1.0,0.03279000000000001,0.088899,0.34345800000000004,0.440745,0.32456999999999997,0.407896
ph2,0.031872000000000004,0.030980000000000008,0.024509,0.025608000000000006,0.026947000000000002,0.029550000000000007,0.020095000000000005,0.035641000000000006,0.031584,0.028816,0.030715000000000003,0.02561,0.035938,0.03279000000000001,1.0,0.06191800000000001,0.027280000000000006,0.03173,0.022998,0.026202
ph3,0.068108,0.08617000000000001,0.07465300000000002,0.066067,0.08474900000000002,0.08215800000000001,0.04142900000000001,0.08773100000000002,0.07425,0.075202,0.084068,0.06212700000000001,0.08794300000000001,0.088899,0.06191800000000001,1.0,0.07111700000000001,0.09009,0.073229,0.07617900000000001
pubchem,0.26413600000000004,0.267171,0.33717,0.37221000000000004,0.264347,0.276928,0.23685,0.348829,0.340693,0.25592000000000004,0.23984300000000003,0.296538,0.338848,0.34345800000000004,0.027280000000000006,0.07111700000000001,1.0,0.276272,0.352951,0.26768899999999995
rad2d,0.24353399999999997,0.354979,0.24788200000000002,0.23384100000000002,0.34521,0.381916,0.13886300000000001,0.370053,0.283455,0.277615,0.41355,0.26167699999999994,0.38543499999999997,0.440745,0.03173,0.09009,0.276272,1.0,0.23461300000000002,0.32105600000000006
rdkit,0.236725,0.299792,0.37838000000000005,0.44778599999999996,0.306607,0.268475,0.18498199999999998,0.320741,0.325538,0.25156100000000003,0.23400100000000001,0.251603,0.33690400000000004,0.32456999999999997,0.022998,0.073229,0.352951,0.23461300000000002,1.0,0.27682699999999993
tt,0.29198,0.44040700000000005,0.288248,0.25558,0.46404799999999996,0.409067,0.16031,0.37499699999999997,0.290352,0.290423,0.357067,0.235508,0.39681099999999997,0.407896,0.026202,0.07617900000000001,0.26768899999999995,0.32105600000000006,0.27682699999999993,1.0
