,ap,asp,avalon,daylight,dfs,ecfp,estate,fcfp,kr,lingo,lstar,maccs,map4,mhfp,ph2,ph3,pubchem,rad2d,rdkit,tt
ap,1.0,0.29890300000000003,0.250455,0.239527,0.26258899999999996,0.30178,0.238879,0.302112,0.272314,0.259655,0.266246,0.27390299999999995,0.392351,0.29450899999999997,0.032998000000000006,0.070915,0.26931900000000003,0.24995200000000004,0.245214,0.29498500000000005
asp,0.29890300000000003,1.0,0.29882300000000006,0.302991,0.627974,0.417837,0.15323900000000001,0.373547,0.289441,0.30674700000000005,0.430375,0.23983599999999997,0.45349399999999995,0.433853,0.032165,0.08847000000000001,0.270487,0.362897,0.311458,0.442388
avalon,0.250455,0.29882300000000006,1.0,0.34208900000000003,0.3159719999999999,0.289073,0.205348,0.311138,0.293478,0.26561799999999997,0.248273,0.309338,0.31662399999999996,0.32046800000000003,0.025086,0.076297,0.341868,0.254382,0.384667,0.292554
daylight,0.239527,0.302991,0.34208900000000003,1.0,0.29427600000000004,0.274463,0.209044,0.331573,0.316714,0.25211500000000003,0.23872799999999997,0.24304499999999998,0.343658,0.33060100000000003,0.025889000000000006,0.068471,0.374949,0.23997200000000002,0.44667400000000007,0.260447
dfs,0.26258899999999996,0.627974,0.3159719999999999,0.29427600000000004,1.0,0.40915999999999997,0.14933400000000002,0.35789,0.27512100000000006,0.301363,0.430263,0.234771,0.40676599999999996,0.41315799999999997,0.028676000000000004,0.087136,0.266471,0.35345699999999997,0.31863800000000003,0.46551500000000007
ecfp,0.30178,0.417837,0.289073,0.274463,0.40915999999999997,1.0,0.18779400000000002,0.447721,0.31046599999999996,0.34512400000000004,0.47561000000000003,0.270539,0.454071,0.530112,0.03035400000000001,0.085345,0.281704,0.390479,0.27933600000000003,0.41170300000000004
estate,0.238879,0.15323900000000001,0.205348,0.209044,0.14933400000000002,0.18779400000000002,1.0,0.231404,0.211281,0.17084700000000003,0.14645100000000003,0.22724900000000003,0.18918700000000002,0.198236,0.019432,0.045461,0.23999700000000002,0.14341800000000002,0.184625,0.164282
fcfp,0.302112,0.373547,0.311138,0.331573,0.35789,0.447721,0.231404,1.0,0.36600900000000003,0.34486000000000006,0.37814200000000003,0.286948,0.503628,0.601208,0.034839999999999996,0.08915000000000001,0.351441,0.376358,0.326548,0.378028
kr,0.272314,0.289441,0.293478,0.316714,0.27512100000000006,0.31046599999999996,0.211281,0.36600900000000003,1.0,0.276336,0.275032,0.283815,0.375978,0.380697,0.030983,0.07518700000000002,0.340753,0.288029,0.332003,0.29755000000000004
lingo,0.259655,0.30674700000000005,0.26561799999999997,0.25211500000000003,0.301363,0.34512400000000004,0.17084700000000003,0.34486000000000006,0.276336,1.0,0.29555499999999996,0.253216,0.36521,0.363414,0.029219000000000005,0.078864,0.261694,0.286173,0.260079,0.295798
lstar,0.266246,0.430375,0.248273,0.23872799999999997,0.430263,0.47561000000000003,0.14645100000000003,0.37814200000000003,0.275032,0.29555499999999996,1.0,0.235596,0.407512,0.471483,0.031457000000000006,0.08623099999999999,0.245488,0.421126,0.24531999999999998,0.360211
maccs,0.27390299999999995,0.23983599999999997,0.309338,0.24304499999999998,0.234771,0.270539,0.22724900000000003,0.286948,0.283815,0.253216,0.235596,1.0,0.27695,0.2769,0.026289000000000003,0.065722,0.299346,0.26882900000000004,0.255851,0.240035
map4,0.392351,0.45349399999999995,0.31662399999999996,0.343658,0.40676599999999996,0.454071,0.18918700000000002,0.503628,0.375978,0.36521,0.407512,0.27695,1.0,0.580752,0.03576700000000001,0.089891,0.34192300000000003,0.390456,0.345975,0.398095
mhfp,0.29450899999999997,0.433853,0.32046800000000003,0.33060100000000003,0.41315799999999997,0.530112,0.198236,0.601208,0.380697,0.363414,0.471483,0.2769,0.580752,1.0,0.032677000000000005,0.09106,0.348212,0.44746199999999997,0.333502,0.410433
ph2,0.032998000000000006,0.032165,0.025086,0.025889000000000006,0.028676000000000004,0.03035400000000001,0.019432,0.034839999999999996,0.030983,0.029219000000000005,0.031457000000000006,0.026289000000000003,0.03576700000000001,0.032677000000000005,1.0,0.060348,0.027691000000000004,0.032397,0.024791000000000004,0.026705
ph3,0.070915,0.08847000000000001,0.076297,0.068471,0.087136,0.085345,0.045461,0.08915000000000001,0.07518700000000002,0.078864,0.08623099999999999,0.065722,0.089891,0.09106,0.060348,1.0,0.072705,0.09158500000000001,0.075523,0.07922400000000002
pubchem,0.26931900000000003,0.270487,0.341868,0.374949,0.266471,0.281704,0.23999700000000002,0.351441,0.340753,0.261694,0.245488,0.299346,0.34192300000000003,0.348212,0.027691000000000004,0.072705,1.0,0.280927,0.353445,0.274964
rad2d,0.24995200000000004,0.362897,0.254382,0.23997200000000002,0.35345699999999997,0.390479,0.14341800000000002,0.376358,0.288029,0.286173,0.421126,0.26882900000000004,0.390456,0.44746199999999997,0.032397,0.09158500000000001,0.280927,1.0,0.24449399999999996,0.32804799999999995
rdkit,0.245214,0.311458,0.384667,0.44667400000000007,0.31863800000000003,0.27933600000000003,0.184625,0.326548,0.332003,0.260079,0.24531999999999998,0.255851,0.345975,0.333502,0.024791000000000004,0.075523,0.353445,0.24449399999999996,1.0,0.28700600000000004
tt,0.29498500000000005,0.442388,0.292554,0.260447,0.46551500000000007,0.41170300000000004,0.164282,0.378028,0.29755000000000004,0.295798,0.360211,0.240035,0.398095,0.410433,0.026705,0.07922400000000002,0.274964,0.32804799999999995,0.28700600000000004,1.0
