,ap,asp,avalon,daylight,dfs,ecfp,estate,fcfp,kr,lingo,lstar,maccs,map4,mhfp,ph2,ph3,pubchem,rad2d,rdkit,tt
ap,1.0,0.300339,0.25132400000000005,0.24232599999999999,0.26471799999999995,0.302471,0.23716000000000004,0.30522999999999995,0.273812,0.260354,0.269075,0.27312200000000003,0.396664,0.297627,0.03250000000000001,0.07247300000000001,0.270663,0.25223900000000005,0.248059,0.294106
asp,0.300339,1.0,0.30189,0.307723,0.6288590000000001,0.41727600000000004,0.154403,0.37531099999999995,0.292632,0.306807,0.431978,0.24245699999999998,0.45567399999999997,0.436,0.030874000000000002,0.09141400000000001,0.271789,0.36527200000000004,0.31001999999999996,0.44235399999999997
avalon,0.25132400000000005,0.30189,1.0,0.3431,0.319637,0.289777,0.20289400000000002,0.31186899999999995,0.29227200000000003,0.26538300000000004,0.24879600000000002,0.310723,0.319767,0.321394,0.024673,0.07818100000000001,0.341963,0.25649299999999997,0.386223,0.295308
daylight,0.24232599999999999,0.307723,0.3431,1.0,0.29712799999999995,0.276773,0.213015,0.33651,0.318899,0.25193999999999994,0.24193,0.246158,0.347799,0.333874,0.025865000000000003,0.07025300000000001,0.37891299999999994,0.244995,0.452658,0.26166000000000006
dfs,0.26471799999999995,0.6288590000000001,0.319637,0.29712799999999995,1.0,0.408948,0.15004800000000001,0.35789600000000005,0.277223,0.302822,0.430446,0.23727399999999998,0.407235,0.41325600000000007,0.027412,0.090447,0.267997,0.354867,0.31613100000000005,0.4646219999999999
ecfp,0.302471,0.41727600000000004,0.289777,0.276773,0.408948,1.0,0.18593800000000002,0.44664499999999996,0.31018199999999996,0.34414300000000003,0.476832,0.271126,0.454243,0.529902,0.029767000000000002,0.08814600000000002,0.28268000000000004,0.391702,0.280792,0.40976799999999997
estate,0.23716000000000004,0.154403,0.20289400000000002,0.213015,0.15004800000000001,0.18593800000000002,1.0,0.23059899999999997,0.21105500000000002,0.169841,0.14646199999999998,0.2247,0.18897200000000003,0.196667,0.021021,0.045564999999999994,0.239817,0.14344300000000001,0.190386,0.162695
fcfp,0.30522999999999995,0.37531099999999995,0.31186899999999995,0.33651,0.35789600000000005,0.44664499999999996,0.23059899999999997,1.0,0.36848800000000004,0.343883,0.37880400000000003,0.288702,0.5073529999999999,0.6043129999999999,0.035202000000000004,0.09269100000000001,0.35500599999999993,0.37798000000000004,0.332583,0.378159
kr,0.273812,0.292632,0.29227200000000003,0.318899,0.277223,0.31018199999999996,0.21105500000000002,0.36848800000000004,1.0,0.274068,0.276188,0.285178,0.37621600000000005,0.38028999999999996,0.031949,0.07811400000000002,0.343798,0.29017600000000005,0.33523400000000003,0.296607
lingo,0.260354,0.306807,0.26538300000000004,0.25193999999999994,0.302822,0.34414300000000003,0.169841,0.343883,0.274068,1.0,0.29489,0.254811,0.36358300000000005,0.36215,0.029044000000000004,0.07856300000000001,0.262349,0.286295,0.26081499999999996,0.297284
lstar,0.269075,0.431978,0.24879600000000002,0.24193,0.430446,0.476832,0.14646199999999998,0.37880400000000003,0.276188,0.29489,1.0,0.23650300000000002,0.408157,0.47131300000000004,0.030564000000000004,0.089198,0.246664,0.422235,0.24529700000000002,0.35875099999999993
maccs,0.27312200000000003,0.24245699999999998,0.310723,0.246158,0.23727399999999998,0.271126,0.2247,0.288702,0.285178,0.254811,0.23650300000000002,1.0,0.27989200000000003,0.279016,0.025878,0.065651,0.29926900000000006,0.270769,0.26022,0.242754
map4,0.396664,0.45567399999999997,0.319767,0.347799,0.407235,0.454243,0.18897200000000003,0.5073529999999999,0.37621600000000005,0.36358300000000005,0.408157,0.27989200000000003,1.0,0.583386,0.03589300000000001,0.09343900000000001,0.343825,0.393113,0.34899100000000005,0.398441
mhfp,0.297627,0.436,0.321394,0.333874,0.41325600000000007,0.529902,0.196667,0.6043129999999999,0.38028999999999996,0.36215,0.47131300000000004,0.279016,0.583386,1.0,0.03228200000000001,0.095306,0.34848100000000004,0.449155,0.33507700000000007,0.410434
ph2,0.03250000000000001,0.030874000000000002,0.024673,0.025865000000000003,0.027412,0.029767000000000002,0.021021,0.035202000000000004,0.031949,0.029044000000000004,0.030564000000000004,0.025878,0.03589300000000001,0.03228200000000001,1.0,0.06715600000000001,0.026608,0.031812000000000014,0.023567,0.026066000000000002
ph3,0.07247300000000001,0.09141400000000001,0.07818100000000001,0.07025300000000001,0.090447,0.08814600000000002,0.045564999999999994,0.09269100000000001,0.07811400000000002,0.07856300000000001,0.089198,0.065651,0.09343900000000001,0.095306,0.06715600000000001,1.0,0.07366600000000001,0.094552,0.076812,0.08116200000000001
pubchem,0.270663,0.271789,0.341963,0.37891299999999994,0.267997,0.28268000000000004,0.239817,0.35500599999999993,0.343798,0.262349,0.246664,0.29926900000000006,0.343825,0.34848100000000004,0.026608,0.07366600000000001,1.0,0.28069000000000005,0.360079,0.272527
rad2d,0.25223900000000005,0.36527200000000004,0.25649299999999997,0.244995,0.354867,0.391702,0.14344300000000001,0.37798000000000004,0.29017600000000005,0.286295,0.422235,0.270769,0.393113,0.449155,0.031812000000000014,0.094552,0.28069000000000005,1.0,0.246758,0.32743
rdkit,0.248059,0.31001999999999996,0.386223,0.452658,0.31613100000000005,0.280792,0.190386,0.332583,0.33523400000000003,0.26081499999999996,0.24529700000000002,0.26022,0.34899100000000005,0.33507700000000007,0.023567,0.076812,0.360079,0.246758,1.0,0.28629499999999997
