,ap,asp,avalon,daylight,dfs,ecfp,estate,fcfp,kr,lingo,lstar,maccs,map4,mhfp,ph2,ph3,pubchem,rad2d,rdkit,tt
ap,1.0,0.29700200000000004,0.24545,0.23660299999999998,0.259744,0.298074,0.23578400000000002,0.2966460000000001,0.272248,0.25648699999999997,0.262905,0.267554,0.391769,0.291544,0.031796000000000005,0.06788600000000002,0.268685,0.2456,0.24142599999999997,0.29331500000000005
asp,0.29700200000000004,1.0,0.29202100000000003,0.30028900000000003,0.6280629999999999,0.4178210000000001,0.151276,0.37381499999999995,0.289394,0.30398800000000004,0.429854,0.23373900000000003,0.45432800000000007,0.43196900000000005,0.029970000000000004,0.086402,0.26710200000000006,0.359944,0.306212,0.44582299999999997
avalon,0.24545,0.29202100000000003,1.0,0.338029,0.30873100000000003,0.282242,0.202716,0.30708199999999997,0.29074700000000003,0.258232,0.240121,0.306159,0.31209899999999996,0.31290200000000007,0.025716000000000003,0.073962,0.336476,0.24695300000000003,0.3786280000000001,0.28785099999999997
daylight,0.23660299999999998,0.30028900000000003,0.338029,1.0,0.28863599999999995,0.27144,0.21013800000000002,0.330907,0.317049,0.24850899999999998,0.23407799999999998,0.24016300000000002,0.341115,0.326926,0.025971000000000004,0.06612100000000001,0.373996,0.23614200000000002,0.447796,0.25891999999999993
dfs,0.259744,0.6280629999999999,0.30873100000000003,0.28863599999999995,1.0,0.40532599999999996,0.14636000000000002,0.355256,0.27360999999999996,0.297923,0.426617,0.228019,0.40324499999999996,0.406752,0.02692900000000001,0.08483000000000002,0.262158,0.34795600000000004,0.311093,0.4675950000000001
ecfp,0.298074,0.4178210000000001,0.282242,0.27144,0.40532599999999996,1.0,0.184614,0.44587800000000005,0.30856300000000003,0.339671,0.47445699999999996,0.263795,0.45365599999999995,0.528324,0.029366000000000003,0.083343,0.278816,0.385419,0.27340700000000007,0.411757
estate,0.23578400000000002,0.151276,0.202716,0.21013800000000002,0.14636000000000002,0.184614,1.0,0.22915,0.21234899999999998,0.168642,0.14350000000000002,0.223221,0.18842899999999999,0.1955,0.020127000000000003,0.043817,0.239614,0.141092,0.18545100000000003,0.161598
fcfp,0.2966460000000001,0.37381499999999995,0.30708199999999997,0.330907,0.355256,0.44587800000000005,0.22915,1.0,0.365647,0.34073400000000004,0.37675,0.28232700000000005,0.504712,0.601221,0.034969,0.087324,0.35004,0.373724,0.324574,0.37695
kr,0.272248,0.289394,0.29074700000000003,0.317049,0.27360999999999996,0.30856300000000003,0.21234899999999998,0.365647,1.0,0.273802,0.272821,0.283832,0.376115,0.38042000000000004,0.031131000000000006,0.07419,0.341634,0.28665999999999997,0.331718,0.29477099999999995
lingo,0.25648699999999997,0.30398800000000004,0.258232,0.24850899999999998,0.297923,0.339671,0.168642,0.34073400000000004,0.273802,1.0,0.28976199999999996,0.246894,0.3611,0.35921700000000006,0.029207999999999998,0.07617900000000002,0.259616,0.27780900000000003,0.25514499999999996,0.293781
lstar,0.262905,0.429854,0.240121,0.23407799999999998,0.426617,0.47445699999999996,0.14350000000000002,0.37675,0.272821,0.28976199999999996,1.0,0.22902399999999998,0.40638500000000005,0.46749300000000005,0.029004000000000002,0.08358900000000001,0.24070500000000003,0.41729499999999997,0.23868899999999998,0.359076
maccs,0.267554,0.23373900000000003,0.306159,0.24016300000000002,0.228019,0.263795,0.223221,0.28232700000000005,0.283832,0.246894,0.22902399999999998,1.0,0.27487,0.27203200000000005,0.025473000000000003,0.06233000000000002,0.295041,0.261719,0.25286400000000003,0.235792
map4,0.391769,0.45432800000000007,0.31209899999999996,0.341115,0.40324499999999996,0.45365599999999995,0.18842899999999999,0.504712,0.376115,0.3611,0.40638500000000005,0.27487,1.0,0.5819039999999999,0.034551,0.08740400000000002,0.33956,0.387438,0.34247000000000005,0.400658
mhfp,0.291544,0.43196900000000005,0.31290200000000007,0.326926,0.406752,0.528324,0.1955,0.601221,0.38042000000000004,0.35921700000000006,0.46749300000000005,0.27203200000000005,0.5819039999999999,1.0,0.03158600000000001,0.08829100000000001,0.342387,0.443611,0.32779400000000003,0.41039400000000004
ph2,0.031796000000000005,0.029970000000000004,0.025716000000000003,0.025971000000000004,0.02692900000000001,0.029366000000000003,0.020127000000000003,0.034969,0.031131000000000006,0.029207999999999998,0.029004000000000002,0.025473000000000003,0.034551,0.03158600000000001,1.0,0.061348,0.027243000000000007,0.030116000000000004,0.026392000000000002,0.025612
ph3,0.06788600000000002,0.086402,0.073962,0.06612100000000001,0.08483000000000002,0.083343,0.043817,0.087324,0.07419,0.07617900000000002,0.08358900000000001,0.06233000000000002,0.08740400000000002,0.08829100000000001,0.061348,1.0,0.07029000000000002,0.08941600000000001,0.072317,0.07603900000000001
pubchem,0.268685,0.26710200000000006,0.336476,0.373996,0.262158,0.278816,0.239614,0.35004,0.341634,0.259616,0.24070500000000003,0.295041,0.33956,0.342387,0.027243000000000007,0.07029000000000002,1.0,0.27621599999999996,0.353262,0.27068600000000004
rad2d,0.2456,0.359944,0.24695300000000003,0.23614200000000002,0.34795600000000004,0.385419,0.141092,0.373724,0.28665999999999997,0.27780900000000003,0.41729499999999997,0.261719,0.387438,0.443611,0.030116000000000004,0.08941600000000001,0.27621599999999996,1.0,0.23730199999999999,0.32395199999999996
rdkit,0.24142599999999997,0.306212,0.3786280000000001,0.447796,0.311093,0.27340700000000007,0.18545100000000003,0.324574,0.331718,0.25514499999999996,0.23868899999999998,0.25286400000000003,0.34247000000000005,0.32779400000000003,0.026392000000000002,0.072317,0.353262,0.23730199999999999,1.0,0.28303
tt,0.29331500000000005,0.44582299999999997,0.28785099999999997,0.25891999999999993,0.4675950000000001,0.411757,0.161598,0.37695,0.29477099999999995,0.293781,0.359076,0.235792,0.400658,0.41039400000000004,0.025612,0.07603900000000001,0.27068600000000004,0.32395199999999996,0.28303,1.0
