,ap,asp,avalon,daylight,dfs,ecfp,estate,fcfp,kr,lingo,lstar,maccs,map4,mhfp,ph2,ph3,pubchem,rad2d,rdkit,tt
ap,1.0,0.297,0.250657,0.240481,0.262329,0.301719,0.23631000000000005,0.301588,0.272035,0.25865000000000005,0.26447800000000005,0.269103,0.394717,0.295485,0.031959,0.068842,0.267226,0.24767200000000003,0.245448,0.297991
asp,0.297,1.0,0.299743,0.30706000000000006,0.625972,0.41607799999999995,0.15306,0.376668,0.290759,0.30315200000000003,0.42835499999999993,0.237627,0.454179,0.433058,0.030522000000000004,0.08758700000000001,0.26779899999999995,0.35859,0.312205,0.44273199999999996
avalon,0.250657,0.299743,1.0,0.343673,0.315875,0.28925,0.20178200000000002,0.312536,0.292074,0.264771,0.24465599999999998,0.308939,0.318062,0.321456,0.024953000000000003,0.07591400000000001,0.33964800000000006,0.251697,0.382381,0.294325
daylight,0.240481,0.30706000000000006,0.343673,1.0,0.295683,0.275256,0.21193199999999998,0.33654100000000003,0.318767,0.25200000000000006,0.237773,0.243705,0.347319,0.333478,0.025671000000000003,0.067784,0.377378,0.238619,0.45500100000000004,0.263858
dfs,0.262329,0.625972,0.315875,0.295683,1.0,0.408613,0.14806699999999998,0.360822,0.27721599999999996,0.298105,0.42778999999999995,0.23379499999999998,0.407028,0.412307,0.026735000000000002,0.08705600000000002,0.265689,0.34853900000000004,0.316415,0.466074
ecfp,0.301719,0.41607799999999995,0.28925,0.275256,0.408613,1.0,0.18726600000000002,0.448614,0.310684,0.342787,0.474209,0.267444,0.45444700000000005,0.530669,0.029302000000000005,0.08325200000000002,0.28117800000000004,0.385798,0.27743700000000004,0.41461499999999996
estate,0.23631000000000005,0.15306,0.20178200000000002,0.21193199999999998,0.14806699999999998,0.18726600000000002,1.0,0.229134,0.211225,0.16992600000000002,0.143976,0.22392999999999996,0.18874899999999997,0.197499,0.019788,0.044215,0.23818499999999998,0.14270800000000003,0.18649200000000002,0.16202400000000003
fcfp,0.301588,0.376668,0.312536,0.33654100000000003,0.360822,0.448614,0.229134,1.0,0.365642,0.344567,0.376919,0.284007,0.507301,0.602159,0.034632,0.08730700000000001,0.35057000000000005,0.37292,0.329881,0.38180699999999995
kr,0.272035,0.290759,0.292074,0.318767,0.27721599999999996,0.310684,0.211225,0.365642,1.0,0.27483500000000005,0.27454,0.281807,0.37612400000000007,0.3803210000000001,0.031014000000000003,0.07485200000000002,0.34079,0.28722600000000004,0.33309399999999995,0.298134
lingo,0.25865000000000005,0.30315200000000003,0.264771,0.25200000000000006,0.298105,0.342787,0.16992600000000002,0.344567,0.27483500000000005,1.0,0.292146,0.252837,0.36413599999999996,0.362202,0.028502000000000003,0.076113,0.261706,0.28185600000000005,0.257208,0.29567000000000004
lstar,0.26447800000000005,0.42835499999999993,0.24465599999999998,0.237773,0.42778999999999995,0.474209,0.143976,0.376919,0.27454,0.292146,1.0,0.23165999999999998,0.406648,0.46832399999999996,0.030124,0.085096,0.24191700000000002,0.41832300000000006,0.241659,0.35843200000000003
maccs,0.269103,0.237627,0.308939,0.243705,0.23379499999999998,0.267444,0.22392999999999996,0.284007,0.281807,0.252837,0.23165999999999998,1.0,0.274677,0.27415799999999996,0.026712,0.06443400000000002,0.29708,0.26501600000000003,0.254761,0.23908700000000002
map4,0.394717,0.454179,0.318062,0.347319,0.407028,0.45444700000000005,0.18874899999999997,0.507301,0.37612400000000007,0.36413599999999996,0.406648,0.274677,1.0,0.5824090000000001,0.034178,0.088341,0.340692,0.38621500000000003,0.347322,0.40136700000000003
mhfp,0.295485,0.433058,0.321456,0.333478,0.412307,0.530669,0.197499,0.602159,0.3803210000000001,0.362202,0.46832399999999996,0.27415799999999996,0.5824090000000001,1.0,0.03134800000000001,0.088761,0.34584000000000004,0.44233100000000003,0.333404,0.4130150000000001
ph2,0.031959,0.030522000000000004,0.024953000000000003,0.025671000000000003,0.026735000000000002,0.029302000000000005,0.019788,0.034632,0.031014000000000003,0.028502000000000003,0.030124,0.026712,0.034178,0.03134800000000001,1.0,0.065596,0.026574,0.030771000000000003,0.026389000000000003,0.024477000000000002
ph3,0.068842,0.08758700000000001,0.07591400000000001,0.067784,0.08705600000000002,0.08325200000000002,0.044215,0.08730700000000001,0.07485200000000002,0.076113,0.085096,0.06443400000000002,0.088341,0.088761,0.065596,1.0,0.071065,0.09046300000000002,0.07477900000000003,0.07783400000000001
pubchem,0.267226,0.26779899999999995,0.33964800000000006,0.377378,0.265689,0.28117800000000004,0.23818499999999998,0.35057000000000005,0.34079,0.261706,0.24191700000000002,0.29708,0.340692,0.34584000000000004,0.026574,0.071065,1.0,0.276656,0.356955,0.272847
rad2d,0.24767200000000003,0.35859,0.251697,0.238619,0.34853900000000004,0.385798,0.14270800000000003,0.37292,0.28722600000000004,0.28185600000000005,0.41832300000000006,0.26501600000000003,0.38621500000000003,0.44233100000000003,0.030771000000000003,0.09046300000000002,0.276656,1.0,0.239677,0.324869
rdkit,0.245448,0.312205,0.382381,0.45500100000000004,0.316415,0.27743700000000004,0.18649200000000002,0.329881,0.33309399999999995,0.257208,0.241659,0.254761,0.347322,0.333404,0.026389000000000003,0.07477900000000003,0.356955,0.239677,1.0,0.286349
tt,0.297991,0.44273199999999996,0.294325,0.263858,0.466074,0.41461499999999996,0.16202400000000003,0.38180699999999995,0.298134,0.29567000000000004,0.35843200000000003,0.23908700000000002,0.40136700000000003,0.4130150000000001,0.024477000000000002,0.07783400000000001,0.272847,0.324869,0.286349,1.0
