,ap,asp,avalon,daylight,dfs,ecfp,estate,fcfp,kr,lingo,lstar,maccs,map4,mhfp,ph2,ph3,pubchem,rad2d,rdkit,tt
ap,1.0,0.29979900000000004,0.250552,0.237285,0.26351099999999994,0.29959300000000005,0.23409499999999997,0.301356,0.272187,0.25856900000000005,0.263228,0.27081400000000005,0.393952,0.293609,0.033567,0.070054,0.26879899999999995,0.24741300000000002,0.243788,0.295782
asp,0.29979900000000004,1.0,0.299134,0.303591,0.626141,0.41681500000000005,0.152947,0.375452,0.28799100000000005,0.305879,0.42933599999999994,0.23645300000000002,0.45582700000000004,0.43499099999999996,0.03244400000000001,0.08943700000000002,0.269954,0.36138899999999996,0.311867,0.44246499999999994
avalon,0.250552,0.299134,1.0,0.339373,0.315733,0.28661400000000004,0.20279,0.307251,0.289449,0.261196,0.24549599999999996,0.30883599999999994,0.315026,0.317188,0.025555,0.07693900000000001,0.335971,0.25178900000000004,0.379777,0.290851
daylight,0.237285,0.303591,0.339373,1.0,0.293105,0.273142,0.21033300000000005,0.33028399999999997,0.31445500000000004,0.248838,0.236432,0.24213,0.341761,0.328372,0.027067,0.069375,0.37438699999999997,0.238893,0.452992,0.258117
dfs,0.26351099999999994,0.626141,0.315733,0.293105,1.0,0.40856600000000004,0.14793800000000001,0.358372,0.274213,0.299642,0.42826899999999996,0.23189700000000002,0.40719299999999997,0.413799,0.028343000000000007,0.08929900000000002,0.26486,0.351836,0.31653300000000006,0.466628
ecfp,0.29959300000000005,0.41681500000000005,0.28661400000000004,0.273142,0.40856600000000004,1.0,0.184673,0.44676099999999996,0.306796,0.3423050000000001,0.475245,0.26546,0.45288100000000003,0.529324,0.03064800000000001,0.08584100000000001,0.27876599999999996,0.38849300000000003,0.278318,0.411103
estate,0.23409499999999997,0.152947,0.20279,0.21033300000000005,0.14793800000000001,0.184673,1.0,0.230269,0.21112799999999998,0.16969100000000004,0.143344,0.22526400000000002,0.187642,0.19604599999999997,0.01958,0.044165,0.240105,0.14090300000000003,0.187436,0.162505
fcfp,0.301356,0.375452,0.307251,0.33028399999999997,0.358372,0.44676099999999996,0.230269,1.0,0.364315,0.34151400000000004,0.378118,0.28502200000000005,0.504025,0.6010610000000001,0.035879,0.08935800000000002,0.350437,0.37687,0.327327,0.379233
kr,0.272187,0.28799100000000005,0.289449,0.31445500000000004,0.274213,0.306796,0.21112799999999998,0.364315,1.0,0.27238299999999993,0.27262900000000007,0.285503,0.37403200000000003,0.378156,0.031615000000000004,0.07559,0.340311,0.286434,0.33216899999999994,0.29640900000000003
lingo,0.25856900000000005,0.305879,0.261196,0.248838,0.299642,0.3423050000000001,0.16969100000000004,0.34151400000000004,0.27238299999999993,1.0,0.29345800000000005,0.250641,0.362843,0.36026900000000006,0.029705000000000006,0.077221,0.258816,0.283121,0.25772599999999996,0.295416
lstar,0.263228,0.42933599999999994,0.24549599999999996,0.236432,0.42826899999999996,0.475245,0.143344,0.378118,0.27262900000000007,0.29345800000000005,1.0,0.22925399999999999,0.407787,0.4702700000000001,0.032067000000000005,0.08811100000000001,0.24306799999999998,0.41869400000000007,0.24360099999999998,0.359262
maccs,0.27081400000000005,0.23645300000000002,0.30883599999999994,0.24213,0.23189700000000002,0.26546,0.22526400000000002,0.28502200000000005,0.285503,0.250641,0.22925399999999999,1.0,0.27577399999999996,0.2729440000000001,0.02628,0.064426,0.29610600000000004,0.26310800000000006,0.25493899999999997,0.23890600000000003
map4,0.393952,0.45582700000000004,0.315026,0.341761,0.40719299999999997,0.45288100000000003,0.187642,0.504025,0.37403200000000003,0.362843,0.407787,0.27577399999999996,1.0,0.5806390000000001,0.036201000000000004,0.09039900000000001,0.340707,0.39165300000000003,0.345302,0.398583
mhfp,0.293609,0.43499099999999996,0.317188,0.328372,0.413799,0.529324,0.19604599999999997,0.6010610000000001,0.378156,0.36026900000000006,0.4702700000000001,0.2729440000000001,0.5806390000000001,1.0,0.03322500000000001,0.09185700000000001,0.34356,0.447378,0.33305799999999997,0.411286
ph2,0.033567,0.03244400000000001,0.025555,0.027067,0.028343000000000007,0.03064800000000001,0.01958,0.035879,0.031615000000000004,0.029705000000000006,0.032067000000000005,0.02628,0.036201000000000004,0.03322500000000001,1.0,0.05997800000000001,0.027635000000000003,0.03247100000000001,0.026208000000000006,0.0265
ph3,0.070054,0.08943700000000002,0.07693900000000001,0.069375,0.08929900000000002,0.08584100000000001,0.044165,0.08935800000000002,0.07559,0.077221,0.08811100000000001,0.064426,0.09039900000000001,0.09185700000000001,0.05997800000000001,1.0,0.07231300000000002,0.092643,0.075699,0.07933600000000002
pubchem,0.26879899999999995,0.269954,0.335971,0.37438699999999997,0.26486,0.27876599999999996,0.240105,0.350437,0.340311,0.258816,0.24306799999999998,0.29610600000000004,0.340707,0.34356,0.027635000000000003,0.07231300000000002,1.0,0.278196,0.356448,0.27129
rad2d,0.24741300000000002,0.36138899999999996,0.25178900000000004,0.238893,0.351836,0.38849300000000003,0.14090300000000003,0.37687,0.286434,0.283121,0.41869400000000007,0.26310800000000006,0.39165300000000003,0.447378,0.03247100000000001,0.092643,0.278196,1.0,0.243023,0.327991
