,ap,asp,avalon,daylight,dfs,ecfp,estate,fcfp,kr,lingo,lstar,maccs,map4,mhfp,ph2,ph3,pubchem,rad2d,rdkit,tt
ap,1.0,0.29712999999999995,0.245799,0.23633900000000002,0.26216,0.299521,0.23503200000000002,0.30022600000000005,0.271231,0.25590300000000005,0.263962,0.270045,0.391877,0.292536,0.032232000000000004,0.06898500000000002,0.26942000000000005,0.2464,0.240702,0.29413100000000003
asp,0.29712999999999995,1.0,0.29499999999999993,0.300097,0.623862,0.413083,0.152915,0.37111500000000003,0.289469,0.301508,0.424166,0.23659700000000003,0.45066000000000006,0.429386,0.03070400000000001,0.088625,0.266844,0.35718999999999995,0.30849400000000005,0.440837
avalon,0.245799,0.29499999999999993,1.0,0.33936900000000003,0.31264000000000003,0.286188,0.20163500000000004,0.308025,0.289258,0.260967,0.243669,0.309759,0.311906,0.316597,0.02415,0.076313,0.33896400000000004,0.250627,0.38371400000000006,0.291993
daylight,0.23633900000000002,0.300097,0.33936900000000003,1.0,0.28970100000000004,0.27253299999999997,0.21145,0.329119,0.31819200000000003,0.24948299999999998,0.235709,0.24475100000000002,0.33952699999999997,0.32698200000000005,0.025992,0.06696700000000001,0.374831,0.23731600000000003,0.448804,0.259406
dfs,0.26216,0.623862,0.31264000000000003,0.28970100000000004,1.0,0.404242,0.149554,0.354574,0.274512,0.29832800000000004,0.42197799999999996,0.23268899999999998,0.40204500000000004,0.40741700000000003,0.026018000000000006,0.08777599999999999,0.263554,0.34598900000000005,0.31395500000000004,0.46654699999999993
ecfp,0.299521,0.413083,0.286188,0.27253299999999997,0.404242,1.0,0.18666000000000002,0.443183,0.3107420000000001,0.340267,0.472476,0.26803299999999997,0.451805,0.5266299999999999,0.029993000000000006,0.08575,0.2811,0.387205,0.27594199999999997,0.410307
estate,0.23503200000000002,0.152915,0.20163500000000004,0.21145,0.149554,0.18666000000000002,1.0,0.23081,0.20997200000000002,0.16898600000000003,0.144718,0.2253,0.188217,0.19641,0.018847000000000003,0.044493000000000005,0.23966500000000004,0.142225,0.18528999999999998,0.163912
fcfp,0.30022600000000005,0.37111500000000003,0.308025,0.329119,0.354574,0.443183,0.23081,1.0,0.366422,0.341567,0.375309,0.28849600000000003,0.501768,0.597611,0.034126000000000004,0.09056900000000001,0.351274,0.373448,0.32455700000000004,0.378203
kr,0.271231,0.289469,0.289258,0.31819200000000003,0.274512,0.3107420000000001,0.20997200000000002,0.366422,1.0,0.273021,0.27360500000000004,0.28468400000000005,0.375241,0.38197,0.030685000000000004,0.07640600000000002,0.34228800000000004,0.28977600000000003,0.333267,0.29663
lingo,0.25590300000000005,0.301508,0.260967,0.24948299999999998,0.29832800000000004,0.340267,0.16898600000000003,0.341567,0.273021,1.0,0.2909,0.250756,0.36005000000000004,0.358033,0.028552000000000004,0.07885400000000002,0.258927,0.28081500000000004,0.256019,0.29411899999999996
lstar,0.263962,0.424166,0.243669,0.235709,0.42197799999999996,0.472476,0.144718,0.375309,0.27360500000000004,0.2909,1.0,0.23103199999999996,0.405783,0.46734899999999996,0.029870000000000004,0.08667500000000002,0.24280700000000002,0.41507200000000005,0.24017600000000003,0.35670199999999996
maccs,0.270045,0.23659700000000003,0.309759,0.24475100000000002,0.23268899999999998,0.26803299999999997,0.2253,0.28849600000000003,0.28468400000000005,0.250756,0.23103199999999996,1.0,0.27703900000000004,0.27644,0.025283000000000003,0.064818,0.299522,0.264716,0.254436,0.241734
map4,0.391877,0.45066000000000006,0.311906,0.33952699999999997,0.40204500000000004,0.451805,0.188217,0.501768,0.375241,0.36005000000000004,0.405783,0.27703900000000004,1.0,0.5779130000000001,0.035461,0.090298,0.33715500000000004,0.38882599999999995,0.340833,0.39667900000000006
