,ap,asp,avalon,daylight,dfs,ecfp,estate,fcfp,kr,lingo,lstar,maccs,map4,mhfp,ph2,ph3,pubchem,rad2d,rdkit,tt
ap,1.0,0.30024,0.24844000000000002,0.238012,0.264046,0.302112,0.23705900000000002,0.30275100000000005,0.270942,0.256763,0.26745,0.271266,0.39534,0.295311,0.033024,0.06860500000000001,0.268372,0.25011300000000003,0.244445,0.297423
asp,0.30024,1.0,0.29966,0.30271000000000003,0.6279750000000001,0.415876,0.1541,0.37458800000000003,0.289652,0.303868,0.429482,0.23987400000000003,0.454162,0.43326099999999995,0.030424,0.08631300000000001,0.268279,0.358297,0.310913,0.44417700000000004
avalon,0.24844000000000002,0.29966,1.0,0.339805,0.3167150000000001,0.286016,0.20275100000000001,0.30917,0.292485,0.26423499999999994,0.2444,0.312155,0.31584900000000005,0.317378,0.025255000000000003,0.07561000000000001,0.33963999999999994,0.251351,0.383451,0.292975
daylight,0.238012,0.30271000000000003,0.339805,1.0,0.291451,0.272346,0.21316800000000002,0.331838,0.31723100000000004,0.24763400000000002,0.236571,0.244596,0.340796,0.328263,0.025311,0.066827,0.37447300000000006,0.235843,0.45378499999999994,0.259792
dfs,0.264046,0.6279750000000001,0.3167150000000001,0.291451,1.0,0.40725300000000003,0.14916400000000002,0.357246,0.27542300000000003,0.29978999999999995,0.428012,0.235817,0.405396,0.410545,0.026785000000000003,0.085177,0.264967,0.349546,0.31563599999999997,0.467471
ecfp,0.302112,0.415876,0.286016,0.272346,0.40725300000000003,1.0,0.185696,0.44518900000000006,0.306192,0.341444,0.47435199999999994,0.268885,0.45064499999999996,0.5290520000000001,0.029764000000000006,0.083288,0.28044600000000003,0.384847,0.2765079999999999,0.41250699999999996
estate,0.23705900000000002,0.1541,0.20275100000000001,0.21316800000000002,0.14916400000000002,0.185696,1.0,0.231339,0.20953899999999998,0.169441,0.144973,0.22541999999999998,0.18848199999999998,0.19709300000000002,0.020411000000000002,0.044569000000000004,0.238713,0.14292700000000003,0.187741,0.16251300000000002
fcfp,0.30275100000000005,0.37458800000000003,0.30917,0.331838,0.357246,0.44518900000000006,0.231339,1.0,0.36264199999999996,0.34059400000000006,0.376163,0.28691099999999997,0.502517,0.600268,0.035151,0.088019,0.350977,0.372767,0.326746,0.379513
kr,0.270942,0.289652,0.292485,0.31723100000000004,0.27542300000000003,0.306192,0.20953899999999998,0.36264199999999996,1.0,0.271615,0.27162,0.283503,0.3706,0.37603400000000003,0.031118,0.07456200000000002,0.342735,0.285344,0.335569,0.29577700000000007
lingo,0.256763,0.303868,0.26423499999999994,0.24763400000000002,0.29978999999999995,0.341444,0.169441,0.34059400000000006,0.271615,1.0,0.2921480000000001,0.255236,0.359889,0.358361,0.028401000000000006,0.075717,0.259542,0.28258,0.25573500000000005,0.295662
lstar,0.26745,0.429482,0.2444,0.236571,0.428012,0.47435199999999994,0.144973,0.376163,0.27162,0.2921480000000001,1.0,0.23232500000000006,0.40674,0.46951400000000004,0.030082000000000005,0.08368500000000001,0.24224299999999999,0.415364,0.24208600000000002,0.361205
maccs,0.271266,0.23987400000000003,0.312155,0.244596,0.235817,0.268885,0.22541999999999998,0.28691099999999997,0.283503,0.255236,0.23232500000000006,1.0,0.278504,0.276213,0.026024000000000002,0.06393,0.297843,0.265532,0.259483,0.241567
map4,0.39534,0.454162,0.31584900000000005,0.340796,0.405396,0.45064499999999996,0.18848199999999998,0.502517,0.3706,0.359889,0.40674,0.278504,1.0,0.578734,0.035565000000000006,0.08822600000000001,0.33976799999999996,0.386745,0.34401200000000004,0.39966199999999996
mhfp,0.295311,0.43326099999999995,0.317378,0.328263,0.410545,0.5290520000000001,0.19709300000000002,0.600268,0.37603400000000003,0.358361,0.46951400000000004,0.276213,0.578734,1.0,0.03243100000000001,0.08911000000000001,0.345233,0.442816,0.330833,0.4126
ph2,0.033024,0.030424,0.025255000000000003,0.025311,0.026785000000000003,0.029764000000000006,0.020411000000000002,0.035151,0.031118,0.028401000000000006,0.030082000000000005,0.026024000000000002,0.035565000000000006,0.03243100000000001,1.0,0.069679,0.027136,0.030889999999999997,0.023942,0.025155
ph3,0.06860500000000001,0.08631300000000001,0.07561000000000001,0.066827,0.085177,0.083288,0.044569000000000004,0.088019,0.07456200000000002,0.075717,0.08368500000000001,0.06393,0.08822600000000001,0.08911000000000001,0.069679,1.0,0.07112800000000001,0.08898500000000001,0.073551,0.076615
pubchem,0.268372,0.268279,0.33963999999999994,0.37447300000000006,0.264967,0.28044600000000003,0.238713,0.350977,0.342735,0.259542,0.24224299999999999,0.297843,0.33976799999999996,0.345233,0.027136,0.07112800000000001,1.0,0.276227,0.35717200000000005,0.272973
rad2d,0.25011300000000003,0.358297,0.251351,0.235843,0.349546,0.384847,0.14292700000000003,0.372767,0.285344,0.28258,0.415364,0.265532,0.386745,0.442816,0.030889999999999997,0.08898500000000001,0.276227,1.0,0.24058800000000002,0.327637
rdkit,0.244445,0.310913,0.383451,0.45378499999999994,0.31563599999999997,0.2765079999999999,0.187741,0.326746,0.335569,0.25573500000000005,0.24208600000000002,0.259483,0.34401200000000004,0.330833,0.023942,0.073551,0.35717200000000005,0.24058800000000002,1.0,0.285717
tt,0.297423,0.44417700000000004,0.292975,0.259792,0.467471,0.41250699999999996,0.16251300000000002,0.379513,0.29577700000000007,0.295662,0.361205,0.241567,0.39966199999999996,0.4126,0.025155,0.076615,0.272973,0.327637,0.285717,1.0
