,ap,asp,avalon,daylight,dfs,ecfp,estate,fcfp,kr,lingo,lstar,maccs,map4,mhfp,ph2,ph3,pubchem,rad2d,rdkit,tt
ap,1.0,0.302545,0.253695,0.240434,0.265718,0.304708,0.23539000000000002,0.307294,0.275544,0.26099900000000004,0.268788,0.27306800000000003,0.39943999999999996,0.298893,0.03391,0.07180800000000001,0.274248,0.251746,0.24845199999999995,0.29851500000000003
asp,0.302545,1.0,0.305176,0.30622299999999997,0.6288790000000001,0.41976499999999994,0.15376,0.377904,0.29467899999999997,0.30711200000000005,0.43456000000000006,0.239358,0.45631000000000005,0.43784700000000004,0.031232000000000006,0.09031700000000001,0.2760500000000001,0.36587900000000007,0.31252499999999994,0.445797
avalon,0.253695,0.305176,1.0,0.34359,0.32375199999999993,0.29097,0.203516,0.31432000000000004,0.296056,0.26521300000000003,0.25057999999999997,0.309837,0.320102,0.321823,0.025574,0.078072,0.342155,0.25777100000000003,0.38468900000000006,0.299813
daylight,0.240434,0.30622299999999997,0.34359,1.0,0.29684099999999997,0.274675,0.211614,0.33465500000000004,0.31982,0.251988,0.24052799999999996,0.243479,0.34412600000000004,0.332386,0.025493000000000005,0.06979900000000001,0.376844,0.242525,0.451542,0.265586
dfs,0.265718,0.6288790000000001,0.32375199999999993,0.29684099999999997,1.0,0.40988900000000006,0.149051,0.361839,0.281205,0.30168,0.43104499999999996,0.234194,0.408144,0.41734,0.026795000000000003,0.08981200000000002,0.272953,0.35504399999999997,0.319572,0.47133600000000003
ecfp,0.304708,0.41976499999999994,0.29097,0.274675,0.40988900000000006,1.0,0.18534299999999998,0.4468440000000001,0.312578,0.345033,0.478475,0.26836,0.456442,0.531634,0.030866,0.08746000000000001,0.28588,0.38807300000000006,0.28046099999999996,0.41476199999999996
estate,0.23539000000000002,0.15376,0.203516,0.211614,0.149051,0.18534299999999998,1.0,0.23220299999999996,0.21438199999999996,0.170888,0.145023,0.226084,0.18922499999999998,0.19705999999999999,0.022953,0.04574100000000001,0.241575,0.14317400000000002,0.189398,0.163969
fcfp,0.307294,0.377904,0.31432000000000004,0.33465500000000004,0.361839,0.4468440000000001,0.23220299999999996,1.0,0.373357,0.34512800000000005,0.380613,0.288315,0.5068039999999999,0.6005830000000001,0.03578500000000001,0.091926,0.356612,0.37779900000000005,0.33240600000000003,0.38450200000000007
kr,0.275544,0.29467899999999997,0.296056,0.31982,0.281205,0.312578,0.21438199999999996,0.373357,1.0,0.277692,0.277954,0.28602299999999997,0.380439,0.3840120000000001,0.031810000000000005,0.079991,0.3444150000000001,0.29256099999999996,0.337297,0.303867
lingo,0.26099900000000004,0.30711200000000005,0.26521300000000003,0.251988,0.30168,0.345033,0.170888,0.34512800000000005,0.277692,1.0,0.296704,0.253575,0.3648990000000001,0.361983,0.028911000000000003,0.07874400000000001,0.266167,0.2853320000000001,0.26047200000000004,0.297682
lstar,0.268788,0.43456000000000006,0.25057999999999997,0.24052799999999996,0.43104499999999996,0.478475,0.145023,0.380613,0.277954,0.296704,1.0,0.232513,0.411843,0.475574,0.030843000000000002,0.08807500000000001,0.249198,0.42163599999999996,0.246619,0.3627230000000001
