,ap,asp,avalon,daylight,dfs,ecfp,estate,fcfp,kr,lingo,lstar,maccs,map4,mhfp,ph2,ph3,pubchem,rad2d,rdkit,tt
ap,1.0,0.30192300000000005,0.24968400000000002,0.240738,0.26534800000000003,0.30305200000000004,0.234591,0.30338200000000004,0.27282,0.258367,0.268813,0.269907,0.39746,0.297362,0.031649000000000004,0.07098800000000001,0.26881700000000003,0.25106300000000004,0.24425299999999997,0.297343
asp,0.30192300000000005,1.0,0.298,0.30260500000000007,0.626158,0.415366,0.15411200000000003,0.373292,0.288168,0.3022210000000001,0.42718500000000004,0.238017,0.451147,0.43126100000000006,0.031855,0.08900599999999999,0.27038599999999996,0.35936599999999996,0.308594,0.44083199999999995
avalon,0.24968400000000002,0.298,1.0,0.33939800000000003,0.31509000000000004,0.28594899999999995,0.20329900000000004,0.308148,0.290737,0.26036,0.24461799999999997,0.30512399999999995,0.31360299999999997,0.317838,0.024964000000000004,0.077242,0.339515,0.251279,0.38057399999999997,0.29146700000000003
daylight,0.240738,0.30260500000000007,0.33939800000000003,1.0,0.29268500000000003,0.27173600000000003,0.21367400000000003,0.33283599999999997,0.313125,0.24850799999999998,0.236591,0.24399899999999997,0.33957200000000004,0.328554,0.025733000000000002,0.068348,0.381696,0.23894200000000002,0.4493950000000001,0.259426
dfs,0.26534800000000003,0.626158,0.31509000000000004,0.29268500000000003,1.0,0.40518200000000004,0.148988,0.355232,0.27332799999999996,0.297491,0.42430400000000007,0.23267799999999997,0.40326599999999996,0.408686,0.028834000000000002,0.08838700000000001,0.266002,0.349487,0.316308,0.466158
ecfp,0.30305200000000004,0.415366,0.28594899999999995,0.27173600000000003,0.40518200000000004,1.0,0.184706,0.443225,0.30594499999999997,0.339432,0.474404,0.2670929999999999,0.45147299999999996,0.5274429999999999,0.030149000000000002,0.08650300000000002,0.280985,0.387781,0.275558,0.410938
estate,0.234591,0.15411200000000003,0.20329900000000004,0.21367400000000003,0.148988,0.184706,1.0,0.23154299999999997,0.21018299999999998,0.16851999999999998,0.14491300000000001,0.223493,0.188086,0.19756700000000002,0.020748000000000003,0.04559300000000001,0.241062,0.142151,0.189583,0.162125
fcfp,0.30338200000000004,0.373292,0.308148,0.33283599999999997,0.355232,0.443225,0.23154299999999997,1.0,0.36338899999999996,0.340082,0.376125,0.285228,0.503523,0.60016,0.034808,0.09067200000000003,0.35424800000000006,0.374443,0.32633900000000005,0.377824
kr,0.27282,0.288168,0.290737,0.313125,0.27332799999999996,0.30594499999999997,0.21018299999999998,0.36338899999999996,1.0,0.271793,0.27194799999999997,0.281524,0.37025499999999995,0.376787,0.031567000000000005,0.076199,0.342574,0.287071,0.330599,0.295243
lingo,0.258367,0.3022210000000001,0.26036,0.24850799999999998,0.297491,0.339432,0.16851999999999998,0.340082,0.271793,1.0,0.292642,0.25126000000000004,0.359995,0.358349,0.02922900000000001,0.076973,0.26004700000000003,0.281276,0.25460299999999997,0.29393199999999997
lstar,0.268813,0.42718500000000004,0.24461799999999997,0.236591,0.42430400000000007,0.474404,0.14491300000000001,0.376125,0.27194799999999997,0.292642,1.0,0.23294099999999998,0.404517,0.468495,0.030328000000000004,0.08781800000000001,0.243934,0.41829400000000005,0.24128199999999997,0.359202
