,ap,asp,avalon,daylight,dfs,ecfp,estate,fcfp,kr,lingo,lstar,maccs,map4,mhfp,ph2,ph3,pubchem,rad2d,rdkit,tt
ap,1.0,0.297187,0.24741300000000002,0.235998,0.26101399999999997,0.29961299999999996,0.23647799999999997,0.300674,0.26876500000000003,0.256997,0.264063,0.270539,0.393641,0.293895,0.03132900000000001,0.06947800000000001,0.26762800000000003,0.24499700000000002,0.242536,0.29467200000000005
asp,0.297187,1.0,0.293713,0.30012,0.623271,0.41052700000000003,0.15223699999999998,0.369398,0.283265,0.30233099999999996,0.426018,0.23569,0.4463059999999999,0.427199,0.030027000000000005,0.08712400000000001,0.266345,0.35526,0.30260299999999996,0.437525
avalon,0.24741300000000002,0.293713,1.0,0.336838,0.31115200000000004,0.28152299999999997,0.201842,0.306596,0.287899,0.26061599999999996,0.240981,0.310863,0.312484,0.31395199999999995,0.023852000000000005,0.075214,0.33921999999999997,0.24735300000000002,0.38175600000000004,0.286788
daylight,0.235998,0.30012,0.336838,1.0,0.28949100000000005,0.268484,0.21193299999999998,0.329081,0.30969399999999997,0.2481,0.233866,0.24230900000000002,0.336433,0.325702,0.025235000000000004,0.06611600000000001,0.375039,0.234294,0.445816,0.254712
dfs,0.26101399999999997,0.623271,0.31115200000000004,0.28949100000000005,1.0,0.400089,0.14723799999999998,0.351005,0.268486,0.29670100000000005,0.42299200000000003,0.230568,0.396725,0.403069,0.026207000000000005,0.086622,0.26224200000000003,0.342994,0.30803500000000006,0.46
ecfp,0.29961299999999996,0.41052700000000003,0.28152299999999997,0.268484,0.400089,1.0,0.184611,0.441517,0.303519,0.340547,0.469686,0.264943,0.44705900000000004,0.522946,0.029622000000000002,0.08365299999999999,0.276971,0.38048000000000004,0.272099,0.40725300000000003
estate,0.23647799999999997,0.15223699999999998,0.201842,0.21193299999999998,0.14723799999999998,0.184611,1.0,0.23237399999999997,0.20955100000000002,0.16739200000000004,0.143985,0.22552600000000003,0.18759000000000003,0.196733,0.021956,0.043394,0.23958599999999997,0.140099,0.18629600000000002,0.16221799999999997
fcfp,0.300674,0.369398,0.306596,0.329081,0.351005,0.441517,0.23237399999999997,1.0,0.363465,0.33965700000000004,0.371537,0.285675,0.49877599999999994,0.5975600000000001,0.034915,0.088414,0.350449,0.367737,0.325237,0.374478
kr,0.26876500000000003,0.283265,0.287899,0.30969399999999997,0.268486,0.303519,0.20955100000000002,0.363465,1.0,0.268585,0.26825200000000005,0.283411,0.36964800000000003,0.376709,0.030548000000000002,0.07448800000000001,0.340066,0.282055,0.32915500000000003,0.290604
lingo,0.256997,0.30233099999999996,0.26061599999999996,0.2481,0.29670100000000005,0.340547,0.16739200000000004,0.33965700000000004,0.268585,1.0,0.288941,0.249721,0.35959800000000003,0.35813199999999995,0.027822000000000003,0.07591400000000001,0.258956,0.2781,0.25640300000000005,0.291815
lstar,0.264063,0.426018,0.240981,0.233866,0.42299200000000003,0.469686,0.143985,0.371537,0.26825200000000005,0.288941,1.0,0.23009200000000002,0.399846,0.46340700000000007,0.029987,0.08510400000000001,0.240265,0.413095,0.237839,0.355501
maccs,0.270539,0.23569,0.310863,0.24230900000000002,0.230568,0.264943,0.22552600000000003,0.285675,0.283411,0.249721,0.23009200000000002,1.0,0.27366900000000005,0.27372100000000005,0.024686000000000003,0.063556,0.29694100000000007,0.26178,0.256471,0.237625
map4,0.393641,0.4463059999999999,0.312484,0.336433,0.396725,0.44705900000000004,0.18759000000000003,0.49877599999999994,0.36964800000000003,0.35959800000000003,0.399846,0.27366900000000005,1.0,0.5764520000000001,0.03506800000000001,0.088428,0.337922,0.381878,0.33983199999999997,0.39285
mhfp,0.293895,0.427199,0.31395199999999995,0.325702,0.403069,0.522946,0.196733,0.5975600000000001,0.376709,0.35813199999999995,0.46340700000000007,0.27372100000000005,0.5764520000000001,1.0,0.031285,0.0898,0.34477399999999997,0.43861300000000003,0.32817199999999996,0.40667000000000003
ph2,0.03132900000000001,0.030027000000000005,0.023852000000000005,0.025235000000000004,0.026207000000000005,0.029622000000000002,0.021956,0.034915,0.030548000000000002,0.027822000000000003,0.029987,0.024686000000000003,0.03506800000000001,0.031285,1.0,0.06071,0.026475000000000005,0.031254000000000004,0.025814999999999998,0.024512000000000006
ph3,0.06947800000000001,0.08712400000000001,0.075214,0.06611600000000001,0.086622,0.08365299999999999,0.043394,0.088414,0.07448800000000001,0.07591400000000001,0.08510400000000001,0.063556,0.088428,0.0898,0.06071,1.0,0.07161500000000001,0.091083,0.07344700000000001,0.07671800000000001
pubchem,0.26762800000000003,0.266345,0.33921999999999997,0.375039,0.26224200000000003,0.276971,0.23958599999999997,0.350449,0.340066,0.258956,0.240265,0.29694100000000007,0.337922,0.34477399999999997,0.026475000000000005,0.07161500000000001,1.0,0.273634,0.358486,0.270531
rad2d,0.24499700000000002,0.35526,0.24735300000000002,0.234294,0.342994,0.38048000000000004,0.140099,0.367737,0.282055,0.2781,0.413095,0.26178,0.381878,0.43861300000000003,0.031254000000000004,0.091083,0.273634,1.0,0.23668899999999998,0.318592
rdkit,0.242536,0.30260299999999996,0.38175600000000004,0.445816,0.30803500000000006,0.272099,0.18629600000000002,0.325237,0.32915500000000003,0.25640300000000005,0.237839,0.256471,0.33983199999999997,0.32817199999999996,0.025814999999999998,0.07344700000000001,0.358486,0.23668899999999998,1.0,0.279438
tt,0.29467200000000005,0.437525,0.286788,0.254712,0.46,0.40725300000000003,0.16221799999999997,0.374478,0.290604,0.291815,0.355501,0.237625,0.39285,0.40667000000000003,0.024512000000000006,0.07671800000000001,0.270531,0.318592,0.279438,1.0
