,Number of compounds,Dataset %,Number of scaffolds,Scaffold diversity %
all,10000.0,100.0,5133.0,51.33
plant,6895.0,68.95,3620.0,52.50181290790428
bacteria,1061.0,10.61,639.0,60.226201696512724
fungi,1235.0,12.35,758.0,61.37651821862348
animal,96.0,0.96,77.0,80.20833333333333
marine,713.0,7.13,354.0,49.64936886395512
