,Number of compounds,Dataset %,Number of scaffolds,Scaffold diversity %
all,10000.0,100.0,5098.0,50.98
plant,7004.0,70.04,3626.0,51.770416904625925
bacteria,1008.0,10.08,607.0,60.21825396825397
fungi,1259.0,12.59,776.0,61.63621922160445
animal,86.0,0.86,71.0,82.55813953488372
marine,643.0,6.43,314.0,48.83359253499222
