,Number of compounds,Dataset %,Number of scaffolds,Scaffold diversity %
all,10000.0,100.0,5114.0,51.14
plant,6932.0,69.32,3561.0,51.37045585689555
bacteria,1076.0,10.76,667.0,61.98884758364312
fungi,1243.0,12.43,796.0,64.03861625100564
animal,74.0,0.74,61.0,82.43243243243244
marine,675.0,6.75,359.0,53.18518518518518
