,Number of compounds,Dataset %,Number of scaffolds,Scaffold diversity %
all,10000.0,100.0,5178.0,51.78
plant,6928.0,69.28,3659.0,52.81466512702079
bacteria,1051.0,10.51,635.0,60.418648905804
fungi,1226.0,12.26,742.0,60.52202283849918
animal,86.0,0.86,68.0,79.06976744186046
marine,709.0,7.09,386.0,54.44287729196051
