,Number of compounds,Dataset %,Number of scaffolds,Scaffold diversity %
all,10000.0,100.0,5097.0,50.97
plant,6942.0,69.42,3534.0,50.90751944684529
bacteria,1070.0,10.7,648.0,60.5607476635514
fungi,1239.0,12.39,791.0,63.84180790960452
animal,75.0,0.75,64.0,85.33333333333333
marine,674.0,6.74,356.0,52.81899109792285
