,Number of compounds,Dataset %,Number of scaffolds,Scaffold diversity %
all,10000.0,100.0,5089.0,50.89
plant,6884.0,68.84,3489.0,50.68274259151656
bacteria,1115.0,11.15,682.0,61.16591928251121
fungi,1212.0,12.12,741.0,61.13861386138614
animal,93.0,0.93,71.0,76.34408602150538
marine,696.0,6.96,406.0,58.333333333333336
