,Number of compounds,Dataset %,Number of scaffolds,Scaffold diversity %
all,10000.0,100.0,5105.0,51.05
plant,6963.0,69.63,3633.0,52.17578629900905
bacteria,1093.0,10.93,652.0,59.65233302836231
fungi,1193.0,11.93,730.0,61.190276613579215
animal,72.0,0.72,57.0,79.16666666666667
marine,679.0,6.79,347.0,51.10456553755523
