,Number of compounds,Dataset %,Number of scaffolds,Scaffold diversity %
all,10000.0,100.0,5149.0,51.49
plant,6913.0,69.13,3601.0,52.090264718646026
bacteria,1117.0,11.17,673.0,60.25067144136079
fungi,1233.0,12.33,754.0,61.15166261151663
animal,66.0,0.66,58.0,87.87878787878788
marine,671.0,6.71,381.0,56.78092399403875
