,Number of compounds,Dataset %,Number of scaffolds,Scaffold diversity %
all,10000.0,100.0,5153.0,51.53
plant,6917.0,69.17,3603.0,52.089055949110886
bacteria,1096.0,10.96,685.0,62.5
fungi,1209.0,12.09,748.0,61.86931348221671
animal,90.0,0.9,75.0,83.33333333333333
marine,688.0,6.88,367.0,53.343023255813954
