,Number of compounds,Dataset %,Number of scaffolds,Scaffold diversity %
all,10000.0,100.0,5130.0,51.3
plant,6878.0,68.78,3596.0,52.28264030241349
bacteria,1118.0,11.18,676.0,60.46511627906977
fungi,1202.0,12.02,736.0,61.23128119800333
animal,97.0,0.97,71.0,73.19587628865979
marine,705.0,7.05,365.0,51.773049645390074
