,Number of compounds,Dataset %,Number of scaffolds,Scaffold diversity %
all,10000.0,100.0,5109.0,51.09
plant,6948.0,69.48,3599.0,51.79907887161773
bacteria,1085.0,10.85,666.0,61.382488479262676
fungi,1225.0,12.25,739.0,60.326530612244895
animal,77.0,0.77,63.0,81.81818181818181
marine,665.0,6.65,349.0,52.4812030075188
