,Number of compounds,Dataset %,Number of scaffolds,Scaffold diversity %
all,10000.0,100.0,5113.0,51.13
plant,6916.0,69.16,3599.0,52.03875072296125
bacteria,1047.0,10.47,626.0,59.789875835721105
fungi,1249.0,12.49,746.0,59.72778222578062
animal,80.0,0.8,67.0,83.75
marine,708.0,7.08,376.0,53.10734463276836
