,Number of compounds,Dataset %,Number of scaffolds,Scaffold diversity %
all,10000.0,100.0,5086.0,50.86
plant,6930.0,69.3,3560.0,51.37085137085137
bacteria,1090.0,10.9,663.0,60.825688073394495
fungi,1232.0,12.32,724.0,58.76623376623377
animal,81.0,0.81,67.0,82.71604938271605
marine,667.0,6.67,376.0,56.37181409295352
