,Number of compounds,Dataset %,Number of scaffolds,Scaffold diversity %
all,10000.0,100.0,5122.0,51.22
plant,6982.0,69.82,3591.0,51.43225436837582
bacteria,1039.0,10.39,640.0,61.59769008662175
fungi,1220.0,12.2,757.0,62.049180327868854
animal,81.0,0.81,68.0,83.95061728395062
marine,678.0,6.78,371.0,54.71976401179941
