,Number of compounds,Dataset %,Number of scaffolds,Scaffold diversity %
all,10000.0,100.0,5065.0,50.65
plant,7013.0,70.13,3600.0,51.33323827178098
bacteria,1036.0,10.36,613.0,59.16988416988417
fungi,1175.0,11.75,719.0,61.191489361702125
animal,79.0,0.79,60.0,75.9493670886076
marine,697.0,6.97,364.0,52.22381635581062
