,Number of compounds,Dataset %,Number of scaffolds,Scaffold diversity %
all,10000.0,100.0,5174.0,51.74
plant,6914.0,69.14,3648.0,52.76251084755568
bacteria,1078.0,10.78,644.0,59.74025974025974
fungi,1246.0,12.46,779.0,62.520064205457466
animal,73.0,0.73,64.0,87.67123287671232
marine,689.0,6.89,353.0,51.23367198838897
