,Number of compounds,Dataset %,Number of scaffolds,Scaffold diversity %
all,10000.0,100.0,5142.0,51.42
plant,6942.0,69.42,3574.0,51.48372227023913
bacteria,1099.0,10.99,678.0,61.69244767970883
fungi,1256.0,12.56,778.0,61.94267515923567
animal,85.0,0.85,64.0,75.29411764705883
marine,618.0,6.18,348.0,56.310679611650485
