,Number of compounds,Dataset %,Number of scaffolds,Scaffold diversity %
all,10000.0,100.0,5138.0,51.38
plant,6931.0,69.31,3594.0,51.85398932332997
bacteria,1054.0,10.54,653.0,61.95445920303605
fungi,1281.0,12.81,788.0,61.514441842310696
animal,78.0,0.78,64.0,82.05128205128206
marine,656.0,6.56,353.0,53.8109756097561
