,Number of compounds,Dataset %,Number of scaffolds,Scaffold diversity %
all,10000.0,100.0,5139.0,51.39
plant,6917.0,69.17,3600.0,52.04568454532312
bacteria,1025.0,10.25,640.0,62.4390243902439
fungi,1247.0,12.47,761.0,61.026463512429835
animal,86.0,0.86,69.0,80.23255813953489
marine,725.0,7.25,379.0,52.275862068965516
