,Number of compounds,Dataset %,Number of scaffolds,Scaffold diversity %
all,10000.0,100.0,5065.0,50.65
plant,6930.0,69.3,3547.0,51.18326118326118
bacteria,1054.0,10.54,668.0,63.37760910815939
fungi,1230.0,12.3,722.0,58.699186991869915
animal,105.0,1.05,86.0,81.9047619047619
marine,681.0,6.81,354.0,51.98237885462555
