,Number of compounds,Dataset %,Number of scaffolds,Scaffold diversity %
all,10000.0,100.0,5118.0,51.18
plant,6944.0,69.44,3634.0,52.33294930875576
bacteria,1061.0,10.61,632.0,59.566446748350614
fungi,1225.0,12.25,758.0,61.87755102040816
animal,78.0,0.78,64.0,82.05128205128206
marine,692.0,6.92,356.0,51.445086705202314
