,Number of compounds,Dataset %,Number of scaffolds,Scaffold diversity %
all,10000.0,100.0,5074.0,50.74
plant,6941.0,69.41,3546.0,51.08773951880133
bacteria,1124.0,11.24,685.0,60.94306049822064
fungi,1217.0,12.17,736.0,60.47658175842235
animal,87.0,0.87,66.0,75.86206896551724
marine,631.0,6.31,335.0,53.09033280507131
