,Number of compounds,Dataset %,Number of scaffolds,Scaffold diversity %
all,10000.0,100.0,5120.0,51.2
plant,6979.0,69.79,3608.0,51.69795099584468
bacteria,1043.0,10.43,641.0,61.45733461169703
fungi,1244.0,12.44,752.0,60.450160771704184
animal,75.0,0.75,60.0,80.0
marine,659.0,6.59,362.0,54.931714719271625
