,Number of compounds,Dataset %,Number of scaffolds,Scaffold diversity %
all,10000.0,100.0,5117.0,51.17
plant,7011.0,70.11,3641.0,51.93267722150906
bacteria,1040.0,10.4,616.0,59.23076923076923
fungi,1173.0,11.73,733.0,62.489343563512364
animal,91.0,0.91,74.0,81.31868131868131
marine,685.0,6.85,368.0,53.722627737226276
