,Number of compounds,Dataset %,Number of scaffolds,Scaffold diversity %
all,10000.0,100.0,5073.0,50.73
plant,6921.0,69.21,3504.0,50.628521889900306
bacteria,1083.0,10.83,648.0,59.83379501385041
fungi,1255.0,12.55,790.0,62.94820717131474
animal,80.0,0.8,69.0,86.25
marine,661.0,6.61,363.0,54.91679273827534
