,Number of compounds,Dataset %,Number of scaffolds,Scaffold diversity %
all,10000.0,100.0,5160.0,51.6
plant,6852.0,68.52,3588.0,52.364273204903675
bacteria,1122.0,11.22,697.0,62.121212121212125
fungi,1238.0,12.38,755.0,60.98546042003231
animal,97.0,0.97,80.0,82.47422680412372
marine,691.0,6.91,363.0,52.532561505065125
