,Number of compounds,Dataset %,Number of scaffolds,Scaffold diversity %
all,10000.0,100.0,5190.0,51.9
plant,7029.0,70.29,3690.0,52.49679897567221
bacteria,1056.0,10.56,623.0,58.996212121212125
fungi,1207.0,12.07,780.0,64.62303231151616
animal,73.0,0.73,64.0,87.67123287671232
marine,635.0,6.35,335.0,52.75590551181102
