,Number of compounds,Dataset %,Number of scaffolds,Scaffold diversity %
all,10000.0,100.0,5101.0,51.01
plant,6849.0,68.49,3547.0,51.78858227478464
bacteria,1122.0,11.22,667.0,59.44741532976827
fungi,1264.0,12.64,766.0,60.60126582278481
animal,87.0,0.87,70.0,80.45977011494253
marine,678.0,6.78,358.0,52.8023598820059
