,Number of compounds,Dataset %,Number of scaffolds,Scaffold diversity %
all,10000.0,100.0,5107.0,51.07
plant,6934.0,69.34,3585.0,51.7017594462071
bacteria,1092.0,10.92,644.0,58.97435897435897
fungi,1214.0,12.14,771.0,63.50906095551895
animal,63.0,0.63,51.0,80.95238095238095
marine,697.0,6.97,372.0,53.37159253945481
