,Number of compounds,Dataset %,Number of scaffolds,Scaffold diversity %
all,10000.0,100.0,5076.0,50.76
plant,6943.0,69.43,3549.0,51.11623217629267
bacteria,1080.0,10.8,666.0,61.666666666666664
fungi,1251.0,12.51,746.0,59.63229416466827
animal,77.0,0.77,56.0,72.72727272727273
marine,649.0,6.49,361.0,55.62403697996918
