,Number of compounds,Dataset %,Number of scaffolds,Scaffold diversity %
all,10000.0,100.0,5121.0,51.21
plant,7002.0,70.02,3613.0,51.5995429877178
bacteria,1021.0,10.21,644.0,63.07541625857003
fungi,1222.0,12.22,737.0,60.310965630114566
animal,66.0,0.66,59.0,89.39393939393939
marine,689.0,6.89,357.0,51.81422351233672
