,Number of compounds,Dataset %,Number of scaffolds,Scaffold diversity %
all,10000.0,100.0,5105.0,51.05
plant,6878.0,68.78,3557.0,51.71561500436173
bacteria,1065.0,10.65,644.0,60.46948356807512
fungi,1280.0,12.8,778.0,60.78125
animal,99.0,0.99,78.0,78.78787878787878
marine,678.0,6.78,356.0,52.50737463126843
