,Number of compounds,Dataset %,Number of scaffolds,Scaffold diversity %
all,10000.0,100.0,5144.0,51.44
plant,6956.0,69.56,3602.0,51.78263369752732
bacteria,1058.0,10.58,652.0,61.62570888468809
fungi,1212.0,12.12,762.0,62.87128712871287
animal,86.0,0.86,75.0,87.20930232558139
marine,688.0,6.88,355.0,51.598837209302324
